  181   2   1   0   3
   -90.00    10.078
   -89.00    10.075
   -88.00    10.067
   -87.00    10.054
   -86.00    10.036
   -85.00    10.013
   -84.00     9.984
   -83.00     9.951
   -82.00     9.913
   -81.00     9.869
   -80.00     9.821
   -79.00     9.768
   -78.00     9.711
   -77.00     9.649
   -76.00     9.583
   -75.00     9.512
   -74.00     9.437
   -73.00     9.359
   -72.00     9.276
   -71.00     9.190
   -70.00     9.101
   -69.00     9.008
   -68.00     8.912
   -67.00     8.813
   -66.00     8.711
   -65.00     8.606
   -64.00     8.499
   -63.00     8.390
   -62.00     8.279
   -61.00     8.166
   -60.00     8.051
   -59.00     7.935
   -58.00     7.818
   -57.00     7.699
   -56.00     7.580
   -55.00     7.460
   -54.00     7.339
   -53.00     7.218
   -52.00     7.097
   -51.00     6.976
   -50.00     6.855
   -49.00     6.734
   -48.00     6.614
   -47.00     6.495
   -46.00     6.376
   -45.00     6.259
   -44.00     6.143
   -43.00     6.028
   -42.00     5.914
   -41.00     5.802
   -40.00     5.692
   -39.00     5.583
   -38.00     5.477
   -37.00     5.372
   -36.00     5.270
   -35.00     5.169
   -34.00     5.071
   -33.00     4.976
   -32.00     4.883
   -31.00     4.792
   -30.00     4.704
   -29.00     4.619
   -28.00     4.536
   -27.00     4.456
   -26.00     4.378
   -25.00     4.304
   -24.00     4.232
   -23.00     4.164
   -22.00     4.098
   -21.00     4.035
   -20.00     3.975
   -19.00     3.917
   -18.00     3.863
   -17.00     3.812
   -16.00     3.763
   -15.00     3.718
   -14.00     3.676
   -13.00     3.636
   -12.00     3.600
   -11.00     3.566
   -10.00     3.535
    -9.00     3.508
    -8.00     3.483
    -7.00     3.461
    -6.00     3.442
    -5.00     3.426
    -4.00     3.413
    -3.00     3.403
    -2.00     3.396
    -1.00     3.391
     0.00     3.390
     1.00     3.391
     2.00     3.396
     3.00     3.403
     4.00     3.413
     5.00     3.426
     6.00     3.442
     7.00     3.461
     8.00     3.483
     9.00     3.508
    10.00     3.535
    11.00     3.566
    12.00     3.600
    13.00     3.636
    14.00     3.676
    15.00     3.718
    16.00     3.763
    17.00     3.812
    18.00     3.863
    19.00     3.917
    20.00     3.975
    21.00     4.035
    22.00     4.098
    23.00     4.164
    24.00     4.232
    25.00     4.304
    26.00     4.378
    27.00     4.456
    28.00     4.536
    29.00     4.619
    30.00     4.704
    31.00     4.792
    32.00     4.883
    33.00     4.976
    34.00     5.071
    35.00     5.169
    36.00     5.270
    37.00     5.372
    38.00     5.477
    39.00     5.583
    40.00     5.692
    41.00     5.802
    42.00     5.914
    43.00     6.028
    44.00     6.143
    45.00     6.259
    46.00     6.376
    47.00     6.495
    48.00     6.614
    49.00     6.734
    50.00     6.855
    51.00     6.976
    52.00     7.097
    53.00     7.218
    54.00     7.339
    55.00     7.460
    56.00     7.580
    57.00     7.699
    58.00     7.818
    59.00     7.935
    60.00     8.051
    61.00     8.166
    62.00     8.279
    63.00     8.390
    64.00     8.499
    65.00     8.606
    66.00     8.711
    67.00     8.813
    68.00     8.912
    69.00     9.008
    70.00     9.101
    71.00     9.190
    72.00     9.276
    73.00     9.359
    74.00     9.437
    75.00     9.512
    76.00     9.583
    77.00     9.649
    78.00     9.711
    79.00     9.768
    80.00     9.821
    81.00     9.869
    82.00     9.913
    83.00     9.951
    84.00     9.984
    85.00    10.013
    86.00    10.036
    87.00    10.054
    88.00    10.067
    89.00    10.075
    90.00    10.078
  181   2   4   0   3
   -90.00    10.078
   -89.00    10.079
   -88.00    10.081
   -87.00    10.086
   -86.00    10.092
   -85.00    10.100
   -84.00    10.110
   -83.00    10.122
   -82.00    10.135
   -81.00    10.150
   -80.00    10.167
   -79.00    10.186
   -78.00    10.206
   -77.00    10.228
   -76.00    10.252
   -75.00    10.277
   -74.00    10.304
   -73.00    10.332
   -72.00    10.362
   -71.00    10.394
   -70.00    10.427
   -69.00    10.461
   -68.00    10.497
   -67.00    10.535
   -66.00    10.573
   -65.00    10.613
   -64.00    10.654
   -63.00    10.697
   -62.00    10.740
   -61.00    10.785
   -60.00    10.831
   -59.00    10.878
   -58.00    10.926
   -57.00    10.974
   -56.00    11.024
   -55.00    11.074
   -54.00    11.126
   -53.00    11.178
   -52.00    11.230
   -51.00    11.283
   -50.00    11.337
   -49.00    11.391
   -48.00    11.445
   -47.00    11.500
   -46.00    11.555
   -45.00    11.611
   -44.00    11.666
   -43.00    11.722
   -42.00    11.777
   -41.00    11.833
   -40.00    11.888
   -39.00    11.943
   -38.00    11.998
   -37.00    12.052
   -36.00    12.106
   -35.00    12.160
   -34.00    12.212
   -33.00    12.265
   -32.00    12.316
   -31.00    12.367
   -30.00    12.417
   -29.00    12.466
   -28.00    12.515
   -27.00    12.562
   -26.00    12.608
   -25.00    12.652
   -24.00    12.696
   -23.00    12.738
   -22.00    12.779
   -21.00    12.819
   -20.00    12.857
   -19.00    12.894
   -18.00    12.929
   -17.00    12.962
   -16.00    12.994
   -15.00    13.024
   -14.00    13.053
   -13.00    13.080
   -12.00    13.104
   -11.00    13.127
   -10.00    13.148
    -9.00    13.168
    -8.00    13.185
    -7.00    13.200
    -6.00    13.213
    -5.00    13.225
    -4.00    13.234
    -3.00    13.241
    -2.00    13.246
    -1.00    13.249
     0.00    13.250
     1.00    13.249
     2.00    13.246
     3.00    13.241
     4.00    13.234
     5.00    13.225
     6.00    13.213
     7.00    13.200
     8.00    13.185
     9.00    13.168
    10.00    13.148
    11.00    13.127
    12.00    13.104
    13.00    13.080
    14.00    13.053
    15.00    13.024
    16.00    12.994
