==== Histogram : hg3, FitMethod: fitNGauss, BG = 50 
 ==== Chi-Sq : 3158081.622719 , NDF : 3928, BG-Sigma2 : 23161.545251 
 ============= Fit Result: reduced Chi-squared = 0.034712
 59 , count:       21( 17), mean: 2376.2000(  0.0000), sigma:   3.8000(  0.0000) 
 60 , count:      124( 20), mean: 2384.7000(  0.0000), sigma:   3.8000(  0.0000) 
 61 , count:       92( 19), mean: 2484.0000(  0.0000), sigma:   4.5000(  0.0000) 
 62 , count:       75( 18), mean: 2577.8000(  0.0000), sigma:   5.0000(  0.0000) 
 63 , count:      543( 30), mean: 2668.2000(  0.0000), sigma:   6.2000(  0.0000) 
 64 , count:       34( 16), mean: 2681.4000(  0.0000), sigma:   4.4000(  0.0000) 
 65 , count:      103( 15), mean: 2804.0000(  0.0000), sigma:   4.6000(  0.0000) 
 66 , count:       40( 14), mean: 2824.2000(  0.0000), sigma:   5.0000(  0.0000) 
 67 , count:       68( 16), mean: 2973.2000(  0.0000), sigma:   5.6000(  0.0000) 
 68 , count:       21( 14), mean: 3095.7000(  0.0000), sigma:   6.8000(  0.0000) 
 69 , count:      111( 17), mean: 3143.6000(  0.0000), sigma:   5.4000(  0.0000) 
 70 , count:       55( 11), mean: 3319.0000(  0.0000), sigma:   4.4000(  0.0000) 
 71 , count:       23( 13), mean: 3551.1000(  0.0000), sigma:   5.8000(  0.0000) 
 
 
 ==== Histogram : hg0, FitMethod: fitNGauss, BG = 50 
 ==== Chi-Sq : 87481069.309313 , NDF : 3928, BG-Sigma2 : 656828.993677 
 ============= Fit Result: reduced Chi-squared = 0.033907
  0 , count:     2101( 54), mean: 138.6000(  0.0000), sigma:   2.3000(  0.0000) 
  1 , count:      883( 43), mean: 169.4000(  0.0000), sigma:   2.6000(  0.0000) 
  2 , count:      708( 37), mean: 292.0000(  0.0000), sigma:   1.5000(  0.0000) 
  3 , count:      473( 43), mean: 306.4000(  0.0000), sigma:   2.9000(  0.0000) 
  4 , count:      605( 36), mean: 383.7000(  0.0000), sigma:   1.4000(  0.0000) 
  5 , count:      246( 33), mean: 438.4000(  0.0000), sigma:   1.7000(  0.0000) 
  6 , count:      125( 25), mean: 555.4000(  0.0000), sigma:   1.5000(  0.0000) 
  7 , count:      195( 32), mean: 558.9000(  0.0000), sigma:   1.5000(  0.0000) 
  8 , count:      619( 32), mean: 638.0000(  0.0000), sigma:   1.6000(  0.0000) 
  9 , count:      124( 32), mean: 725.2000(  0.0000), sigma:   1.6000(  0.0000) 
 10 , count:      489( 33), mean: 755.9000(  0.0000), sigma:   1.6000(  0.0000) 
 11 , count:      166( 35), mean: 759.7000(  0.0000), sigma:   1.6000(  0.0000) 
 12 , count:      200( 31), mean: 774.3000(  0.0000), sigma:   1.6000(  0.0000) 
 13 , count:      410( 36), mean: 779.8000(  0.0000), sigma:   1.6000(  0.0000) 
 14 , count:      142( 27), mean: 788.3000(  0.0000), sigma:   1.6000(  0.0000) 
 15 , count:      121( 37), mean: 809.6000(  0.0000), sigma:   1.6000(  0.0000) 
 16 , count:      110( 33), mean: 822.0000(  0.0000), sigma:   1.6000(  0.0000) 
 17 , count:      341( 35), mean: 830.2000(  0.0000), sigma:   1.6000(  0.0000) 
 18 , count:      298( 31), mean: 844.5000(  0.0000), sigma:   1.9000(  0.0000) 
 19 , count:     1957( 55), mean: 850.1000(  0.0000), sigma:   1.9000(  0.0000) 
 20 , count:      195( 29), mean: 886.6000(  0.0000), sigma:   1.9000(  0.0000) 
 21 , count:      234( 39), mean: 905.4000(  0.0000), sigma:   2.5000(  0.0000) 
 22 , count:      425( 46), mean: 944.9000(  0.0000), sigma:   2.5000(  0.0000) 
 23 , count:     1316( 48), mean: 1019.6000(  0.0000), sigma:   2.5000(  0.0000) 
 24 , count:      620( 50), mean: 1029.9000(  0.0000), sigma:   2.5000(  0.0000) 
 25 , count:      695( 38), mean: 1066.9000(  0.0000), sigma:   2.5000(  0.0000) 
 26 , count:      628( 49), mean: 1134.0000(  0.0000), sigma:   2.5000(  0.0000) 
 27 , count:     1195( 56), mean: 1190.0000(  0.0000), sigma:   2.5000(  0.0000) 
 28 , count:      249( 35), mean: 1200.4000(  0.0000), sigma:   2.5000(  0.0000) 
 29 , count:      227( 39), mean: 1207.0000(  0.0000), sigma:   2.5000(  0.0000) 
 30 , count:     7136( 94), mean: 1292.7000(  0.0000), sigma:   2.7000(  0.0000) 
 31 , count:      906( 46), mean: 1312.0000(  0.0000), sigma:   2.5000(  0.0000) 
 32 , count:      133( 38), mean: 1432.0000(  0.0000), sigma:   2.6000(  0.0000) 
 33 , count:      244( 39), mean: 1457.0000(  0.0000), sigma:   2.6000(  0.0000) 
 34 , count:      242( 40), mean: 1500.0000(  0.0000), sigma:   2.7000(  0.0000) 
 35 , count:      265( 41), mean: 1513.1000(  0.0000), sigma:   2.7000(  0.0000) 
 36 , count:     3840( 70), mean: 1534.5000(  0.0000), sigma:   2.7000(  0.0000) 
 37 , count:      213( 37), mean: 1554.3000(  0.0000), sigma:   2.7000(  0.0000) 
 38 , count:      205( 31), mean: 1568.7000(  0.0000), sigma:   2.7000(  0.0000) 
 39 , count:      726( 45), mean: 1576.7000(  0.0000), sigma:   2.6000(  0.0000) 
 40 , count:      555( 40), mean: 1609.3000(  0.0000), sigma:   2.7000(  0.0000) 
 41 , count:      309( 39), mean: 1617.0000(  0.0000), sigma:   2.7000(  0.0000) 
 42 , count:      364( 32), mean: 1625.4000(  0.0000), sigma:   2.7000(  0.0000) 
 43 , count:      464( 43), mean: 1634.4000(  0.0000), sigma:   2.7000(  0.0000) 
 44 , count:      141( 34), mean: 1642.5000(  0.0000), sigma:   2.7000(  0.0000) 
 45 , count:      336( 44), mean: 1674.5000(  0.0000), sigma:   2.8000(  0.0000) 
 46 , count:      422( 35), mean: 1720.7000(  0.0000), sigma:   3.0000(  0.0000) 
 47 , count:      264( 40), mean: 1811.3000(  0.0000), sigma:   3.6000(  0.0000) 
 48 , count:      258( 34), mean: 1828.4000(  0.0000), sigma:   3.6000(  0.0000) 
 49 , count:      454( 38), mean: 1846.8000(  0.0000), sigma:   3.6000(  0.0000) 
 50 , count:      289( 40), mean: 1950.5000(  0.0000), sigma:   3.3000(  0.0000) 
 51 , count:     1132( 50), mean: 2043.4000(  0.0000), sigma:   3.6000(  0.0000) 
 52 , count:      335( 46), mean: 2057.3000(  0.0000), sigma:   3.6000(  0.0000) 
 53 , count:      161( 44), mean: 2195.3000(  0.0000), sigma:   3.6000(  0.0000) 
 54 , count:      218( 42), mean: 2224.4000(  0.0000), sigma:   3.6000(  0.0000) 
 55 , count:      983( 54), mean: 2276.2000(  0.0000), sigma:   3.6000(  0.0000) 
 56 , count:      793( 59), mean: 2322.8000(  0.0000), sigma:   5.3000(  0.0000) 
 57 , count:     1165( 59), mean: 2332.2000(  0.0000), sigma:   4.0000(  0.0000) 
 58 , count:      454( 42), mean: 2364.8000(  0.0000), sigma:   3.8000(  0.0000) 
 59 , count:      234( 37), mean: 2376.2000(  0.0000), sigma:   3.8000(  0.0000) 
 60 , count:      323( 49), mean: 2384.7000(  0.0000), sigma:   3.8000(  0.0000) 
 61 , count:       95( 43), mean: 2484.0000(  0.0000), sigma:   4.5000(  0.0000) 
 62 , count:      494( 47), mean: 2577.8000(  0.0000), sigma:   5.0000(  0.0000) 
 63 , count:      948( 50), mean: 2668.2000(  0.0000), sigma:   6.2000(  0.0000) 
 64 , count:     1520( 56), mean: 2681.4000(  0.0000), sigma:   4.4000(  0.0000) 
 65 , count:      244( 39), mean: 2804.0000(  0.0000), sigma:   4.6000(  0.0000) 
 66 , count:      419( 38), mean: 2824.2000(  0.0000), sigma:   5.0000(  0.0000) 
 67 , count:     1713( 58), mean: 2973.2000(  0.0000), sigma:   5.6000(  0.0000) 
 68 , count:      533( 37), mean: 3095.7000(  0.0000), sigma:   6.8000(  0.0000) 
 69 , count:     1603( 48), mean: 3143.6000(  0.0000), sigma:   5.4000(  0.0000) 
 70 , count:      365( 33), mean: 3319.0000(  0.0000), sigma:   4.4000(  0.0000) 
 71 , count:      305( 34), mean: 3551.1000(  0.0000), sigma:   5.8000(  0.0000) 
 
 
 ==== Histogram : hg2, FitMethod: fitNGauss, BG = 50 
 ==== Chi-Sq : 78387362.782411 , NDF : 3812, BG-Sigma2 : 586114.998428 
 ============= Fit Result: reduced Chi-squared = 0.035084
  0 , count:      585( 33), mean: 138.6000(  0.0000), sigma:   2.3000(  0.0000) 
  1 , count:      196( 21), mean: 169.4000(  0.0000), sigma:   2.6000(  0.0000) 
  2 , count:      112( 19), mean: 292.0000(  0.0000), sigma:   1.5000(  0.0000) 
  3 , count:      133( 25), mean: 306.4000(  0.0000), sigma:   2.9000(  0.0000) 
  4 , count:      328( 28), mean: 383.7000(  0.0000), sigma:   1.4000(  0.0000) 
  5 , count:      147( 25), mean: 438.4000(  0.0000), sigma:   1.7000(  0.0000) 
  6 , count:       35( 14), mean: 555.4000(  0.0000), sigma:   1.5000(  0.0000) 
  7 , count:      142( 22), mean: 558.9000(  0.0000), sigma:   1.5000(  0.0000) 
  8 , count:       90( 24), mean: 638.0000(  0.0000), sigma:   1.6000(  0.0000) 
  9 , count:       50( 22), mean: 725.2000(  0.0000), sigma:   1.6000(  0.0000) 
 10 , count:       43( 16), mean: 755.9000(  0.0000), sigma:   1.6000(  0.0000) 
 11 , count:      108( 23), mean: 759.7000(  0.0000), sigma:   1.6000(  0.0000) 
 12 , count:       55( 18), mean: 774.3000(  0.0000), sigma:   1.6000(  0.0000) 
 13 , count:      268( 24), mean: 779.8000(  0.0000), sigma:   1.6000(  0.0000) 
 14 , count:       72( 21), mean: 788.3000(  0.0000), sigma:   1.6000(  0.0000) 
 15 , count:       90( 20), mean: 809.6000(  0.0000), sigma:   1.6000(  0.0000) 
 16 , count:       98( 21), mean: 822.0000(  0.0000), sigma:   1.6000(  0.0000) 
 17 , count:      245( 22), mean: 830.2000(  0.0000), sigma:   1.6000(  0.0000) 
 18 , count:       94( 21), mean: 844.5000(  0.0000), sigma:   1.9000(  0.0000) 
 19 , count:     1307( 43), mean: 850.1000(  0.0000), sigma:   1.9000(  0.0000) 
 20 , count:      133( 22), mean: 886.6000(  0.0000), sigma:   1.9000(  0.0000) 
 21 , count:       36( 22), mean: 905.4000(  0.0000), sigma:   2.5000(  0.0000) 
 22 , count:       66( 24), mean: 944.9000(  0.0000), sigma:   2.5000(  0.0000) 
 23 , count:      479( 35), mean: 1019.6000(  0.0000), sigma:   2.5000(  0.0000) 
 24 , count:      144( 24), mean: 1029.9000(  0.0000), sigma:   2.5000(  0.0000) 
 25 , count:      399( 30), mean: 1066.9000(  0.0000), sigma:   2.5000(  0.0000) 
 26 , count:      110( 26), mean: 1134.0000(  0.0000), sigma:   2.5000(  0.0000) 
 27 , count:      140( 25), mean: 1190.0000(  0.0000), sigma:   2.5000(  0.0000) 
 28 , count:       60( 23), mean: 1200.4000(  0.0000), sigma:   2.5000(  0.0000) 
 29 , count:       19( 23), mean: 1207.0000(  0.0000), sigma:   2.5000(  0.0000) 
 30 , count:     5236( 79), mean: 1292.7000(  0.0000), sigma:   2.7000(  0.0000) 
 31 , count:      136( 25), mean: 1312.0000(  0.0000), sigma:   2.5000(  0.0000) 
 32 , count:        0( 17), mean: 1432.0000(  0.0000), sigma:   2.6000(  0.0000) 
 33 , count:      138( 26), mean: 1457.0000(  0.0000), sigma:   2.6000(  0.0000) 
 34 , count:       44( 23), mean: 1500.0000(  0.0000), sigma:   2.7000(  0.0000) 
 35 , count:      186( 27), mean: 1513.1000(  0.0000), sigma:   2.7000(  0.0000) 
 36 , count:     2868( 58), mean: 1534.5000(  0.0000), sigma:   2.7000(  0.0000) 
 37 , count:       31( 19), mean: 1554.3000(  0.0000), sigma:   2.7000(  0.0000) 
 38 , count:       48( 15), mean: 1568.7000(  0.0000), sigma:   2.7000(  0.0000) 
 39 , count:      531( 29), mean: 1576.7000(  0.0000), sigma:   2.6000(  0.0000) 
 40 , count:      402( 28), mean: 1609.3000(  0.0000), sigma:   2.7000(  0.0000) 
 41 , count:      186( 22), mean: 1617.0000(  0.0000), sigma:   2.7000(  0.0000) 
 42 , count:      210( 23), mean: 1625.4000(  0.0000), sigma:   2.7000(  0.0000) 
 43 , count:       26( 17), mean: 1634.4000(  0.0000), sigma:   2.7000(  0.0000) 
 44 , count:       39( 19), mean: 1642.5000(  0.0000), sigma:   2.7000(  0.0000) 
 45 , count:       46( 18), mean: 1674.5000(  0.0000), sigma:   2.8000(  0.0000) 
 46 , count:       53( 20), mean: 1720.7000(  0.0000), sigma:   3.0000(  0.0000) 
 47 , count:      114( 26), mean: 1811.3000(  0.0000), sigma:   3.6000(  0.0000) 
 48 , count:      114( 26), mean: 1828.4000(  0.0000), sigma:   3.6000(  0.0000) 
 49 , count:      103( 22), mean: 1846.8000(  0.0000), sigma:   3.6000(  0.0000) 
 50 , count:      206( 23), mean: 1950.5000(  0.0000), sigma:   3.3000(  0.0000) 
 51 , count:      149( 21), mean: 2043.4000(  0.0000), sigma:   3.6000(  0.0000) 
 52 , count:      142( 22), mean: 2057.3000(  0.0000), sigma:   3.6000(  0.0000) 
 53 , count:      103( 23), mean: 2195.3000(  0.0000), sigma:   3.6000(  0.0000) 
 54 , count:       76( 21), mean: 2224.4000(  0.0000), sigma:   3.6000(  0.0000) 
 55 , count:      118( 22), mean: 2276.2000(  0.0000), sigma:   3.6000(  0.0000) 
