# a0 a2 a4 a6 delta sigma
1.00000 0.67348 -1.38814 0.00000 0.00 0.43
1.00000 0.67208 -1.37696 0.00000 0.00 0.43
1.00000 0.67066 -1.36569 0.00000 0.00 0.43
1.00000 0.66923 -1.35433 0.00000 0.00 0.44
1.00000 0.66780 -1.34290 0.00000 0.00 0.44
1.00000 0.66635 -1.33141 0.00000 0.00 0.44
1.00000 0.66489 -1.31985 0.00000 0.00 0.45
1.00000 0.66343 -1.30825 0.00000 0.00 0.45
1.00000 0.66196 -1.29660 0.00000 0.00 0.45
1.00000 0.66048 -1.28491 0.00000 0.00 0.45
1.00000 0.65900 -1.27319 0.00000 0.00 0.46
1.00000 0.65751 -1.26144 0.00000 0.00 0.46
1.00000 0.65602 -1.24968 0.00000 0.00 0.46
1.00000 0.65453 -1.23790 0.00000 0.00 0.47
1.00000 0.65303 -1.22612 0.00000 0.00 0.47
1.00000 0.65153 -1.21433 0.00000 0.00 0.47
1.00000 0.65003 -1.20255 0.00000 0.00 0.47
1.00000 0.64853 -1.19078 0.00000 0.00 0.48
1.00000 0.64702 -1.17903 0.00000 0.00 0.48
1.00000 0.64552 -1.16730 0.00000 0.00 0.48
1.00000 0.64401 -1.15559 0.00000 0.00 0.49
1.00000 0.64251 -1.14391 0.00000 0.00 0.49
1.00000 0.64100 -1.13226 0.00000 0.00 0.49
1.00000 0.63950 -1.12065 0.00000 0.00 0.50
1.00000 0.63800 -1.10909 0.00000 0.00 0.50
1.00000 0.63650 -1.09757 0.00000 0.00 0.50
1.00000 0.63500 -1.08610 0.00000 0.00 0.51
1.00000 0.63350 -1.07468 0.00000 0.00 0.51
1.00000 0.63200 -1.06331 0.00000 0.00 0.51
1.00000 0.63051 -1.05201 0.00000 0.00 0.51
1.00000 0.62902 -1.04077 0.00000 0.00 0.52
1.00000 0.62753 -1.02959 0.00000 0.00 0.52
1.00000 0.62605 -1.01848 0.00000 0.00 0.52
1.00000 0.62457 -1.00743 0.00000 0.00 0.53
1.00000 0.62309 -0.99646 0.00000 0.00 0.53
1.00000 0.62161 -0.98557 0.00000 0.00 0.53
1.00000 0.62013 -0.97474 0.00000 0.00 0.54
1.00000 0.61866 -0.96400 0.00000 0.00 0.54
1.00000 0.61719 -0.95333 0.00000 0.00 0.54
1.00000 0.61573 -0.94275 0.00000 0.00 0.54
1.00000 0.61426 -0.93224 0.00000 0.00 0.55
1.00000 0.61280 -0.92182 0.00000 0.00 0.55
1.00000 0.61134 -0.91149 0.00000 0.00 0.55
1.00000 0.60989 -0.90123 0.00000 0.00 0.56
1.00000 0.60843 -0.89107 0.00000 0.00 0.56
1.00000 0.60698 -0.88099 0.00000 0.00 0.56
1.00000 0.60553 -0.87100 0.00000 0.00 0.57
1.00000 0.60408 -0.86110 0.00000 0.00 0.57
1.00000 0.60264 -0.85129 0.00000 0.00 0.57
1.00000 0.60119 -0.84156 0.00000 0.00 0.57
1.00000 0.59975 -0.83193 0.00000 0.00 0.58
1.00000 0.59831 -0.82239 0.00000 0.00 0.58
1.00000 0.59687 -0.81294 0.00000 0.00 0.58
1.00000 0.59543 -0.80358 0.00000 0.00 0.59
1.00000 0.59399 -0.79431 0.00000 0.00 0.59
1.00000 0.59255 -0.78513 0.00000 0.00 0.59
1.00000 0.59112 -0.77604 0.00000 0.00 0.59
1.00000 0.58968 -0.76705 0.00000 0.00 0.60
1.00000 0.58824 -0.75814 0.00000 0.00 0.60
1.00000 0.58681 -0.74933 0.00000 0.00 0.60
1.00000 0.58537 -0.74060 0.00000 0.00 0.61
1.00000 0.58393 -0.73197 0.00000 0.00 0.61
1.00000 0.58250 -0.72343 0.00000 0.00 0.61
1.00000 0.58106 -0.71498 0.00000 0.00 0.62
1.00000 0.57962 -0.70661 0.00000 0.00 0.62
1.00000 0.57818 -0.69834 0.00000 0.00 0.62
1.00000 0.57674 -0.69016 0.00000 0.00 0.62
1.00000 0.57530 -0.68206 0.00000 0.00 0.63
1.00000 0.57386 -0.67406 0.00000 0.00 0.63
1.00000 0.57241 -0.66614 0.00000 0.00 0.63
1.00000 0.57097 -0.65831 0.00000 0.00 0.64
1.00000 0.56952 -0.65056 0.00000 0.00 0.64
1.00000 0.56807 -0.64290 0.00000 0.00 0.64
1.00000 0.56662 -0.63533 0.00000 0.00 0.65
1.00000 0.56517 -0.62784 0.00000 0.00 0.65
1.00000 0.56371 -0.62044 0.00000 0.00 0.65
1.00000 0.56226 -0.61312 0.00000 0.00 0.66
1.00000 0.56080 -0.60588 0.00000 0.00 0.66
1.00000 0.55933 -0.59873 0.00000 0.00 0.66
1.00000 0.55787 -0.59165 0.00000 0.00 0.66
1.00000 0.55640 -0.58466 0.00000 0.00 0.67
1.00000 0.55493 -0.57775 0.00000 0.00 0.67
1.00000 0.55346 -0.57092 0.00000 0.00 0.67
1.00000 0.55198 -0.56417 0.00000 0.00 0.68
1.00000 0.55050 -0.55750 0.00000 0.00 0.68
1.00000 0.54902 -0.55091 0.00000 0.00 0.68
1.00000 0.54754 -0.54439 0.00000 0.00 0.68
1.00000 0.54605 -0.53795 0.00000 0.00 0.69
1.00000 0.54456 -0.53159 0.00000 0.00 0.69
1.00000 0.54307 -0.52530 0.00000 0.00 0.69
1.00000 0.54157 -0.51909 0.00000 0.00 0.70
1.00000 0.54007 -0.51295 0.00000 0.00 0.70
1.00000 0.53857 -0.50688 0.00000 0.00 0.70
1.00000 0.53706 -0.50089 0.00000 0.00 0.71
1.00000 0.53555 -0.49497 0.00000 0.00 0.71
1.00000 0.53404 -0.48912 0.00000 0.00 0.71
1.00000 0.53252 -0.48333 0.00000 0.00 0.71
1.00000 0.53100 -0.47762 0.00000 0.00 0.72
1.00000 0.52948 -0.47198 0.00000 0.00 0.72
1.00000 0.52795 -0.46641 0.00000 0.00 0.72
1.00000 0.52643 -0.46090 0.00000 0.00 0.73
1.00000 0.52489 -0.45546 0.00000 0.00 0.73
1.00000 0.52336 -0.45009 0.00000 0.00 0.73
1.00000 0.52182 -0.44478 0.00000 0.00 0.74
1.00000 0.52028 -0.43953 0.00000 0.00 0.74
1.00000 0.51874 -0.43435 0.00000 0.00 0.74
1.00000 0.51719 -0.42924 0.00000 0.00 0.74
1.00000 0.51564 -0.42418 0.00000 0.00 0.75
1.00000 0.51409 -0.41919 0.00000 0.00 0.75
1.00000 0.51253 -0.41426 0.00000 0.00 0.75
1.00000 0.51098 -0.40939 0.00000 0.00 0.76
1.00000 0.50942 -0.40458 0.00000 0.00 0.76
1.00000 0.50785 -0.39983 0.00000 0.00 0.76
1.00000 0.50629 -0.39514 0.00000 0.00 0.77
1.00000 0.50472 -0.39050 0.00000 0.00 0.77
1.00000 0.50315 -0.38592 0.00000 0.00 0.77
1.00000 0.50158 -0.38140 0.00000 0.00 0.78
1.00000 0.50001 -0.37694 0.00000 0.00 0.78
1.00000 0.49843 -0.37253 0.00000 0.00 0.78
1.00000 0.49685 -0.36817 0.00000 0.00 0.78
1.00000 0.49527 -0.36387 0.00000 0.00 0.79
1.00000 0.49369 -0.35963 0.00000 0.00 0.79
1.00000 0.49211 -0.35543 0.00000 0.00 0.79
1.00000 0.49052 -0.35129 0.00000 0.00 0.80
1.00000 0.48894 -0.34720 0.00000 0.00 0.80
1.00000 0.48735 -0.34316 0.00000 0.00 0.80
1.00000 0.48576 -0.33917 0.00000 0.00 0.80
1.00000 0.48417 -0.33523 0.00000 0.00 0.81
1.00000 0.48258 -0.33134 0.00000 0.00 0.81
1.00000 0.48098 -0.32750 0.00000 0.00 0.81
1.00000 0.47939 -0.32370 0.00000 0.00 0.82
1.00000 0.47779 -0.31995 0.00000 0.00 0.82
1.00000 0.47620 -0.31625 0.00000 0.00 0.82
1.00000 0.47460 -0.31260 0.00000 0.00 0.83
1.00000 0.47301 -0.30899 0.00000 0.00 0.83
1.00000 0.47141 -0.30543 0.00000 0.00 0.83
1.00000 0.46981 -0.30191 0.00000 0.00 0.83
1.00000 0.46821 -0.29844 0.00000 0.00 0.84
1.00000 0.46662 -0.29501 0.00000 0.00 0.84
1.00000 0.46502 -0.29162 0.00000 0.00 0.84
1.00000 0.46342 -0.28827 0.00000 0.00 0.85
1.00000 0.46182 -0.28497 0.00000 0.00 0.85
1.00000 0.46023 -0.28171 0.00000 0.00 0.85
1.00000 0.45863 -0.27849 0.00000 0.00 0.86
1.00000 0.45703 -0.27531 0.00000 0.00 0.86
1.00000 0.45544 -0.27217 0.00000 0.00 0.86
1.00000 0.45384 -0.26907 0.00000 0.00 0.86
1.00000 0.45225 -0.26600 0.00000 0.00 0.87
1.00000 0.45065 -0.26298 0.00000 0.00 0.87
1.00000 0.44906 -0.25999 0.00000 0.00 0.87
1.00000 0.44747 -0.25704 0.00000 0.00 0.88
1.00000 0.44588 -0.25413 0.00000 0.00 0.88
1.00000 0.44429 -0.25126 0.00000 0.00 0.88
1.00000 0.44270 -0.24842 0.00000 0.00 0.89
1.00000 0.44111 -0.24561 0.00000 0.00 0.89
1.00000 0.43953 -0.24285 0.00000 0.00 0.89
1.00000 0.43795 -0.24011 0.00000 0.00 0.90
1.00000 0.43636 -0.23741 0.00000 0.00 0.90
1.00000 0.43478 -0.23475 0.00000 0.00 0.90
1.00000 0.43321 -0.23211 0.00000 0.00 0.90
1.00000 0.43163 -0.22951 0.00000 0.00 0.91
1.00000 0.43006 -0.22695 0.00000 0.00 0.91
1.00000 0.42849 -0.22441 0.00000 0.00 0.91
1.00000 0.42692 -0.22191 0.00000 0.00 0.92
1.00000 0.42535 -0.21944 0.00000 0.00 0.92
1.00000 0.42378 -0.21700 0.00000 0.00 0.92
1.00000 0.42222 -0.21459 0.00000 0.00 0.93
1.00000 0.42066 -0.21221 0.00000 0.00 0.93
1.00000 0.41910 -0.20986 0.00000 0.00 0.93
1.00000 0.41755 -0.20754 0.00000 0.00 0.93
