# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.16605 0.02283 -0.00000 -60.00 1.50
1.00000 -0.16602 0.02283 -0.00000 -59.88 1.50
1.00000 -0.16599 0.02283 -0.00000 -59.76 1.50
1.00000 -0.16596 0.02283 -0.00000 -59.64 1.50
1.00000 -0.16594 0.02283 -0.00000 -59.52 1.50
1.00000 -0.16591 0.02283 -0.00000 -59.40 1.50
1.00000 -0.16588 0.02283 -0.00000 -59.28 1.50
1.00000 -0.16585 0.02283 -0.00000 -59.16 1.50
1.00000 -0.16582 0.02283 -0.00000 -59.04 1.50
1.00000 -0.16579 0.02283 -0.00000 -58.92 1.50
1.00000 -0.16576 0.02283 -0.00000 -58.80 1.50
1.00000 -0.16573 0.02283 -0.00000 -58.68 1.50
1.00000 -0.16570 0.02283 -0.00000 -58.56 1.50
1.00000 -0.16567 0.02283 -0.00000 -58.44 1.50
1.00000 -0.16564 0.02283 -0.00000 -58.32 1.50
1.00000 -0.16561 0.02283 -0.00000 -58.20 1.50
1.00000 -0.16558 0.02283 -0.00000 -58.08 1.50
1.00000 -0.16555 0.02283 -0.00000 -57.96 1.50
1.00000 -0.16552 0.02283 -0.00000 -57.84 1.50
1.00000 -0.16549 0.02283 -0.00000 -57.72 1.50
1.00000 -0.16546 0.02283 -0.00000 -57.60 1.50
1.00000 -0.16543 0.02283 -0.00000 -57.48 1.50
1.00000 -0.16540 0.02283 -0.00000 -57.36 1.50
1.00000 -0.16537 0.02283 -0.00000 -57.24 1.50
1.00000 -0.16534 0.02283 -0.00000 -57.12 1.50
1.00000 -0.16531 0.02283 -0.00000 -57.00 1.50
1.00000 -0.16528 0.02283 -0.00000 -56.88 1.50
1.00000 -0.16525 0.02283 -0.00000 -56.76 1.50
1.00000 -0.16522 0.02283 -0.00000 -56.64 1.50
1.00000 -0.16518 0.02283 -0.00000 -56.52 1.50
1.00000 -0.16515 0.02283 -0.00000 -56.40 1.50
1.00000 -0.16512 0.02283 -0.00000 -56.28 1.50
1.00000 -0.16509 0.02283 -0.00000 -56.16 1.50
1.00000 -0.16506 0.02283 -0.00000 -56.04 1.50
1.00000 -0.16502 0.02283 -0.00000 -55.92 1.50
1.00000 -0.16499 0.02283 -0.00000 -55.80 1.50
1.00000 -0.16496 0.02283 -0.00000 -55.68 1.50
1.00000 -0.16493 0.02283 -0.00000 -55.56 1.50
1.00000 -0.16489 0.02283 -0.00000 -55.44 1.50
1.00000 -0.16486 0.02283 -0.00000 -55.32 1.50
1.00000 -0.16483 0.02283 -0.00000 -55.20 1.50
1.00000 -0.16479 0.02283 -0.00000 -55.08 1.50
1.00000 -0.16476 0.02283 -0.00000 -54.96 1.50
1.00000 -0.16473 0.02283 -0.00000 -54.84 1.50
1.00000 -0.16469 0.02283 -0.00000 -54.72 1.50
1.00000 -0.16466 0.02283 -0.00000 -54.60 1.50
1.00000 -0.16463 0.02283 -0.00000 -54.48 1.50
1.00000 -0.16459 0.02283 -0.00000 -54.36 1.50
1.00000 -0.16456 0.02283 -0.00000 -54.24 1.50
1.00000 -0.16452 0.02283 -0.00000 -54.12 1.50
1.00000 -0.16449 0.02283 -0.00000 -54.00 1.50
1.00000 -0.16445 0.02283 -0.00000 -53.88 1.50
1.00000 -0.16442 0.02283 -0.00000 -53.76 1.50
1.00000 -0.16438 0.02283 -0.00000 -53.64 1.50
1.00000 -0.16435 0.02283 -0.00000 -53.52 1.50
1.00000 -0.16431 0.02283 -0.00000 -53.40 1.50
1.00000 -0.16428 0.02283 -0.00000 -53.28 1.50
1.00000 -0.16424 0.02283 -0.00000 -53.16 1.50
1.00000 -0.16421 0.02283 -0.00000 -53.04 1.50
1.00000 -0.16417 0.02283 -0.00000 -52.92 1.50
1.00000 -0.16413 0.02283 -0.00000 -52.80 1.50
1.00000 -0.16410 0.02283 -0.00000 -52.68 1.50
1.00000 -0.16406 0.02283 -0.00000 -52.56 1.50
1.00000 -0.16402 0.02283 -0.00000 -52.44 1.50
1.00000 -0.16399 0.02283 -0.00000 -52.32 1.50
1.00000 -0.16395 0.02283 -0.00000 -52.20 1.50
1.00000 -0.16391 0.02283 -0.00000 -52.08 1.50
1.00000 -0.16388 0.02283 -0.00000 -51.96 1.50
1.00000 -0.16384 0.02283 -0.00000 -51.84 1.50
1.00000 -0.16380 0.02283 -0.00000 -51.72 1.50
1.00000 -0.16376 0.02283 -0.00000 -51.60 1.50
1.00000 -0.16372 0.02283 -0.00000 -51.48 1.50
1.00000 -0.16369 0.02283 -0.00000 -51.36 1.50
1.00000 -0.16365 0.02283 -0.00000 -51.24 1.50
1.00000 -0.16361 0.02283 -0.00000 -51.12 1.50
1.00000 -0.16357 0.02283 -0.00000 -51.00 1.50
1.00000 -0.16353 0.02283 -0.00000 -50.88 1.50
1.00000 -0.16349 0.02283 -0.00000 -50.76 1.50
1.00000 -0.16345 0.02283 -0.00000 -50.64 1.50
1.00000 -0.16341 0.02283 -0.00000 -50.52 1.50
1.00000 -0.16337 0.02283 -0.00000 -50.40 1.50
1.00000 -0.16333 0.02283 -0.00000 -50.28 1.50
1.00000 -0.16329 0.02283 -0.00000 -50.16 1.50
1.00000 -0.16325 0.02283 -0.00000 -50.04 1.50
1.00000 -0.16321 0.02283 -0.00000 -49.92 1.50
1.00000 -0.16317 0.02283 -0.00000 -49.80 1.50
1.00000 -0.16313 0.02283 -0.00000 -49.68 1.50
1.00000 -0.16309 0.02283 -0.00000 -49.56 1.50
1.00000 -0.16305 0.02283 -0.00000 -49.44 1.50
1.00000 -0.16301 0.02283 -0.00000 -49.32 1.50
1.00000 -0.16296 0.02283 -0.00000 -49.20 1.50
1.00000 -0.16292 0.02283 -0.00000 -49.08 1.50
1.00000 -0.16288 0.02283 -0.00000 -48.96 1.50
1.00000 -0.16284 0.02283 -0.00000 -48.84 1.50
1.00000 -0.16280 0.02283 -0.00000 -48.72 1.50
1.00000 -0.16275 0.02283 -0.00000 -48.60 1.50
1.00000 -0.16271 0.02283 -0.00000 -48.48 1.50
1.00000 -0.16267 0.02283 -0.00000 -48.36 1.50
1.00000 -0.16262 0.02283 -0.00000 -48.24 1.50
1.00000 -0.16258 0.02283 -0.00000 -48.12 1.50
1.00000 -0.16254 0.02283 -0.00000 -48.00 1.50
1.00000 -0.16249 0.02283 -0.00000 -47.88 1.50
1.00000 -0.16245 0.02283 -0.00000 -47.76 1.50
1.00000 -0.16240 0.02283 -0.00000 -47.64 1.50
1.00000 -0.16236 0.02283 -0.00000 -47.52 1.50
1.00000 -0.16231 0.02283 -0.00000 -47.40 1.50
1.00000 -0.16227 0.02283 -0.00000 -47.28 1.50
1.00000 -0.16222 0.02283 -0.00000 -47.16 1.50
1.00000 -0.16218 0.02283 -0.00000 -47.04 1.50
1.00000 -0.16213 0.02283 -0.00000 -46.92 1.50
1.00000 -0.16209 0.02283 -0.00000 -46.80 1.50
1.00000 -0.16204 0.02283 -0.00000 -46.68 1.50
1.00000 -0.16199 0.02283 -0.00000 -46.56 1.50
1.00000 -0.16195 0.02283 -0.00000 -46.44 1.50
1.00000 -0.16190 0.02283 -0.00000 -46.32 1.50
1.00000 -0.16185 0.02283 -0.00000 -46.20 1.50
1.00000 -0.16180 0.02283 -0.00000 -46.08 1.50
1.00000 -0.16176 0.02283 -0.00000 -45.96 1.50
1.00000 -0.16171 0.02283 -0.00000 -45.84 1.50
1.00000 -0.16166 0.02283 -0.00000 -45.72 1.50
1.00000 -0.16161 0.02283 -0.00000 -45.60 1.50
1.00000 -0.16156 0.02283 -0.00000 -45.48 1.50
1.00000 -0.16151 0.02283 -0.00000 -45.36 1.50
1.00000 -0.16146 0.02283 -0.00000 -45.24 1.50
1.00000 -0.16141 0.02283 -0.00000 -45.12 1.50
1.00000 -0.16136 0.02283 -0.00000 -45.00 1.50
1.00000 -0.16131 0.02283 -0.00000 -44.88 1.50
1.00000 -0.16126 0.02283 -0.00000 -44.76 1.50
1.00000 -0.16121 0.02283 -0.00000 -44.64 1.50
1.00000 -0.16116 0.02283 -0.00000 -44.52 1.50
1.00000 -0.16111 0.02283 -0.00000 -44.40 1.50
1.00000 -0.16106 0.02283 -0.00000 -44.28 1.50
1.00000 -0.16101 0.02283 -0.00000 -44.16 1.50
1.00000 -0.16096 0.02283 -0.00000 -44.04 1.50
1.00000 -0.16090 0.02283 -0.00000 -43.92 1.50
1.00000 -0.16085 0.02283 -0.00000 -43.80 1.50
1.00000 -0.16080 0.02283 -0.00000 -43.68 1.50
1.00000 -0.16075 0.02283 -0.00000 -43.56 1.50
1.00000 -0.16069 0.02283 -0.00000 -43.44 1.50
1.00000 -0.16064 0.02283 -0.00000 -43.32 1.50
1.00000 -0.16058 0.02283 -0.00000 -43.20 1.50
1.00000 -0.16053 0.02283 -0.00000 -43.08 1.50
1.00000 -0.16047 0.02283 -0.00000 -42.96 1.50
1.00000 -0.16042 0.02283 -0.00000 -42.84 1.50
1.00000 -0.16036 0.02283 -0.00000 -42.72 1.50
1.00000 -0.16031 0.02283 -0.00000 -42.60 1.50
1.00000 -0.16025 0.02283 -0.00000 -42.48 1.50
1.00000 -0.16020 0.02283 -0.00000 -42.36 1.50
1.00000 -0.16014 0.02283 -0.00000 -42.24 1.50
1.00000 -0.16008 0.02283 -0.00000 -42.12 1.50
1.00000 -0.16003 0.02283 -0.00000 -42.00 1.50
1.00000 -0.15997 0.02283 -0.00000 -41.88 1.50
1.00000 -0.15991 0.02283 -0.00000 -41.76 1.50
1.00000 -0.15985 0.02283 -0.00000 -41.64 1.50
1.00000 -0.15979 0.02283 -0.00000 -41.52 1.50
1.00000 -0.15974 0.02283 -0.00000 -41.40 1.50
1.00000 -0.15968 0.02283 -0.00000 -41.28 1.50
1.00000 -0.15962 0.02283 -0.00000 -41.16 1.50
1.00000 -0.15956 0.02283 -0.00000 -41.04 1.50
1.00000 -0.15950 0.02283 -0.00000 -40.92 1.50
1.00000 -0.15944 0.02283 -0.00000 -40.80 1.50
1.00000 -0.15937 0.02283 -0.00000 -40.68 1.50
1.00000 -0.15931 0.02283 -0.00000 -40.56 1.50
1.00000 -0.15925 0.02283 -0.00000 -40.44 1.50
1.00000 -0.15919 0.02283 -0.00000 -40.32 1.50
1.00000 -0.15913 0.02283 -0.00000 -40.20 1.50
1.00000 -0.15906 0.02283 -0.00000 -40.08 1.50
1.00000 -0.15900 0.02283 -0.00000 -39.96 1.50
1.00000 -0.15894 0.02283 -0.00000 -39.84 1.50
1.00000 -0.15887 0.02283 -0.00000 -39.72 1.50
1.00000 -0.15881 0.02283 -0.00000 -39.60 1.50
1.00000 -0.15874 0.02283 -0.00000 -39.48 1.50
1.00000 -0.15868 0.02282 -0.00000 -39.36 1.50
1.00000 -0.15861 0.02282 -0.00000 -39.24 1.50
1.00000 -0.15855 0.02282 -0.00000 -39.12 1.50
1.00000 -0.15848 0.02282 -0.00000 -39.00 1.50
1.00000 -0.15841 0.02282 -0.00000 -38.88 1.50
1.00000 -0.15835 0.02282 -0.00000 -38.76 1.50
1.00000 -0.15828 0.02282 -0.00000 -38.64 1.50
1.00000 -0.15821 0.02282 -0.00000 -38.52 1.50
1.00000 -0.15814 0.02282 -0.00000 -38.40 1.50
1.00000 -0.15807 0.02282 -0.00000 -38.28 1.50
1.00000 -0.15800 0.02282 -0.00000 -38.16 1.50
1.00000 -0.15794 0.02282 -0.00000 -38.04 1.50
1.00000 -0.15787 0.02282 -0.00000 -37.92 1.50
1.00000 -0.15779 0.02282 -0.00000 -37.80 1.50
1.00000 -0.15772 0.02282 -0.00000 -37.68 1.50
1.00000 -0.15765 0.02282 -0.00000 -37.56 1.50
1.00000 -0.15758 0.02282 -0.00000 -37.44 1.50
1.00000 -0.15751 0.02282 -0.00000 -37.32 1.50
1.00000 -0.15743 0.02282 -0.00000 -37.20 1.50
1.00000 -0.15736 0.02282 -0.00000 -37.08 1.50
1.00000 -0.15729 0.02282 -0.00000 -36.96 1.50
1.00000 -0.15721 0.02282 -0.00000 -36.84 1.50
1.00000 -0.15714 0.02282 -0.00000 -36.72 1.50
1.00000 -0.15706 0.02282 -0.00000 -36.60 1.50
1.00000 -0.15699 0.02282 -0.00000 -36.48 1.50
1.00000 -0.15691 0.02282 -0.00000 -36.36 1.50
1.00000 -0.15683 0.02282 -0.00000 -36.24 1.50
1.00000 -0.15676 0.02282 -0.00000 -36.12 1.50
1.00000 -0.15668 0.02282 -0.00000 -36.00 1.50
1.00000 -0.15660 0.02282 -0.00000 -35.88 1.50
1.00000 -0.15652 0.02282 -0.00000 -35.76 1.50
1.00000 -0.15644 0.02282 -0.00000 -35.64 1.50
1.00000 -0.15636 0.02282 -0.00000 -35.52 1.50
1.00000 -0.15628 0.02282 -0.00000 -35.40 1.50
1.00000 -0.15620 0.02282 -0.00000 -35.28 1.50
1.00000 -0.15612 0.02282 -0.00000 -35.16 1.50
1.00000 -0.15604 0.02282 -0.00000 -35.04 1.50
1.00000 -0.15595 0.02282 -0.00000 -34.92 1.50
1.00000 -0.15587 0.02282 -0.00000 -34.80 1.50
1.00000 -0.15579 0.02282 -0.00000 -34.68 1.50
1.00000 -0.15570 0.02282 -0.00000 -34.56 1.50
1.00000 -0.15562 0.02282 -0.00000 -34.44 1.50
1.00000 -0.15553 0.02282 -0.00000 -34.32 1.50
1.00000 -0.15544 0.02282 -0.00000 -34.20 1.50
1.00000 -0.15536 0.02282 -0.00000 -34.08 1.50
1.00000 -0.15527 0.02282 -0.00000 -33.96 1.50
1.00000 -0.15518 0.02282 -0.00000 -33.84 1.50
1.00000 -0.15509 0.02282 -0.00000 -33.72 1.50
1.00000 -0.15500 0.02282 -0.00000 -33.60 1.50
1.00000 -0.15491 0.02282 -0.00000 -33.48 1.50
1.00000 -0.15482 0.02282 -0.00000 -33.36 1.50
1.00000 -0.15473 0.02282 -0.00000 -33.24 1.50
1.00000 -0.15464 0.02282 -0.00000 -33.12 1.50
1.00000 -0.15455 0.02282 -0.00000 -33.00 1.50
1.00000 -0.15445 0.02282 -0.00000 -32.88 1.50
1.00000 -0.15436 0.02282 -0.00000 -32.76 1.50
1.00000 -0.15427 0.02282 -0.00000 -32.64 1.50
1.00000 -0.15417 0.02282 -0.00000 -32.52 1.50
1.00000 -0.15407 0.02282 -0.00000 -32.40 1.50
1.00000 -0.15398 0.02282 -0.00000 -32.28 1.50
1.00000 -0.15388 0.02282 -0.00000 -32.16 1.50
