# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.04110 0.06872 -0.00000 -60.00 3.50
1.00000 -0.04114 0.06872 -0.00000 -59.88 3.50
1.00000 -0.04117 0.06872 -0.00000 -59.76 3.50
1.00000 -0.04120 0.06872 -0.00000 -59.64 3.50
1.00000 -0.04123 0.06872 -0.00000 -59.52 3.50
1.00000 -0.04126 0.06872 -0.00000 -59.40 3.50
1.00000 -0.04130 0.06872 -0.00000 -59.28 3.50
1.00000 -0.04133 0.06872 -0.00000 -59.16 3.50
1.00000 -0.04136 0.06872 -0.00000 -59.04 3.50
1.00000 -0.04139 0.06872 -0.00000 -58.92 3.50
1.00000 -0.04143 0.06872 -0.00000 -58.80 3.50
1.00000 -0.04146 0.06872 -0.00000 -58.68 3.50
1.00000 -0.04149 0.06872 -0.00000 -58.56 3.50
1.00000 -0.04153 0.06872 -0.00000 -58.44 3.50
1.00000 -0.04156 0.06872 -0.00000 -58.32 3.50
1.00000 -0.04159 0.06872 -0.00000 -58.20 3.50
1.00000 -0.04163 0.06872 -0.00000 -58.08 3.50
1.00000 -0.04166 0.06872 -0.00000 -57.96 3.50
1.00000 -0.04170 0.06872 -0.00000 -57.84 3.50
1.00000 -0.04173 0.06872 -0.00000 -57.72 3.50
1.00000 -0.04177 0.06872 -0.00000 -57.60 3.50
1.00000 -0.04180 0.06872 -0.00000 -57.48 3.50
1.00000 -0.04183 0.06872 -0.00000 -57.36 3.50
1.00000 -0.04187 0.06872 -0.00000 -57.24 3.50
1.00000 -0.04190 0.06872 -0.00000 -57.12 3.50
1.00000 -0.04194 0.06872 -0.00000 -57.00 3.50
1.00000 -0.04197 0.06872 -0.00000 -56.88 3.50
1.00000 -0.04201 0.06872 -0.00000 -56.76 3.50
1.00000 -0.04205 0.06872 -0.00000 -56.64 3.50
1.00000 -0.04208 0.06872 -0.00000 -56.52 3.50
1.00000 -0.04212 0.06872 -0.00000 -56.40 3.50
1.00000 -0.04215 0.06872 -0.00000 -56.28 3.50
1.00000 -0.04219 0.06872 -0.00000 -56.16 3.50
1.00000 -0.04223 0.06872 -0.00000 -56.04 3.50
1.00000 -0.04226 0.06872 -0.00000 -55.92 3.50
1.00000 -0.04230 0.06872 -0.00000 -55.80 3.50
1.00000 -0.04234 0.06872 -0.00000 -55.68 3.50
1.00000 -0.04237 0.06872 -0.00000 -55.56 3.50
1.00000 -0.04241 0.06872 -0.00000 -55.44 3.50
1.00000 -0.04245 0.06872 -0.00000 -55.32 3.50
1.00000 -0.04248 0.06872 -0.00000 -55.20 3.50
1.00000 -0.04252 0.06872 -0.00000 -55.08 3.50
1.00000 -0.04256 0.06872 -0.00000 -54.96 3.50
1.00000 -0.04260 0.06872 -0.00000 -54.84 3.50
1.00000 -0.04264 0.06872 -0.00000 -54.72 3.50
1.00000 -0.04267 0.06872 -0.00000 -54.60 3.50
1.00000 -0.04271 0.06872 -0.00000 -54.48 3.50
1.00000 -0.04275 0.06872 -0.00000 -54.36 3.50
1.00000 -0.04279 0.06872 -0.00000 -54.24 3.50
1.00000 -0.04283 0.06872 -0.00000 -54.12 3.50
1.00000 -0.04287 0.06872 -0.00000 -54.00 3.50
1.00000 -0.04291 0.06872 -0.00000 -53.88 3.50
1.00000 -0.04295 0.06872 -0.00000 -53.76 3.50
1.00000 -0.04299 0.06872 -0.00000 -53.64 3.50
1.00000 -0.04303 0.06872 -0.00000 -53.52 3.50
1.00000 -0.04307 0.06872 -0.00000 -53.40 3.50
1.00000 -0.04311 0.06872 -0.00000 -53.28 3.50
1.00000 -0.04315 0.06872 -0.00000 -53.16 3.50
1.00000 -0.04319 0.06872 -0.00000 -53.04 3.50
1.00000 -0.04323 0.06872 -0.00000 -52.92 3.50
1.00000 -0.04327 0.06872 -0.00000 -52.80 3.50
1.00000 -0.04331 0.06872 -0.00000 -52.68 3.50
1.00000 -0.04335 0.06872 -0.00000 -52.56 3.50
1.00000 -0.04339 0.06872 -0.00000 -52.44 3.50
1.00000 -0.04343 0.06872 -0.00000 -52.32 3.50
1.00000 -0.04348 0.06872 -0.00000 -52.20 3.50
1.00000 -0.04352 0.06872 -0.00000 -52.08 3.50
1.00000 -0.04356 0.06872 -0.00000 -51.96 3.50
1.00000 -0.04360 0.06872 -0.00000 -51.84 3.50
1.00000 -0.04364 0.06872 -0.00000 -51.72 3.50
1.00000 -0.04369 0.06872 -0.00000 -51.60 3.50
1.00000 -0.04373 0.06872 -0.00000 -51.48 3.50
1.00000 -0.04377 0.06872 -0.00000 -51.36 3.50
1.00000 -0.04382 0.06872 -0.00000 -51.24 3.50
1.00000 -0.04386 0.06872 -0.00000 -51.12 3.50
1.00000 -0.04390 0.06872 -0.00000 -51.00 3.50
1.00000 -0.04395 0.06872 -0.00000 -50.88 3.50
1.00000 -0.04399 0.06872 -0.00000 -50.76 3.50
1.00000 -0.04404 0.06872 -0.00000 -50.64 3.50
1.00000 -0.04408 0.06872 -0.00000 -50.52 3.50
1.00000 -0.04413 0.06872 -0.00000 -50.40 3.50
1.00000 -0.04417 0.06872 -0.00000 -50.28 3.50
1.00000 -0.04422 0.06871 -0.00000 -50.16 3.50
1.00000 -0.04426 0.06871 -0.00000 -50.04 3.50
1.00000 -0.04431 0.06871 -0.00000 -49.92 3.50
1.00000 -0.04435 0.06871 -0.00000 -49.80 3.50
1.00000 -0.04440 0.06871 -0.00000 -49.68 3.50
1.00000 -0.04445 0.06871 -0.00000 -49.56 3.50
1.00000 -0.04449 0.06871 -0.00000 -49.44 3.50
1.00000 -0.04454 0.06871 -0.00000 -49.32 3.50
1.00000 -0.04459 0.06871 -0.00000 -49.20 3.50
1.00000 -0.04464 0.06871 -0.00000 -49.08 3.50
1.00000 -0.04468 0.06871 -0.00000 -48.96 3.50
1.00000 -0.04473 0.06871 -0.00000 -48.84 3.50
1.00000 -0.04478 0.06871 -0.00000 -48.72 3.50
1.00000 -0.04483 0.06871 -0.00000 -48.60 3.50
1.00000 -0.04488 0.06871 -0.00000 -48.48 3.50
1.00000 -0.04492 0.06871 -0.00000 -48.36 3.50
1.00000 -0.04497 0.06871 -0.00000 -48.24 3.50
1.00000 -0.04502 0.06871 -0.00000 -48.12 3.50
1.00000 -0.04507 0.06871 -0.00000 -48.00 3.50
1.00000 -0.04512 0.06871 -0.00000 -47.88 3.50
1.00000 -0.04517 0.06871 -0.00000 -47.76 3.50
