# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.01669 0.07976 -0.00000 -60.00 2.50
1.00000 -0.01673 0.07976 -0.00000 -59.88 2.50
1.00000 -0.01676 0.07976 -0.00000 -59.76 2.50
1.00000 -0.01679 0.07976 -0.00000 -59.64 2.50
1.00000 -0.01683 0.07976 -0.00000 -59.52 2.50
1.00000 -0.01686 0.07976 -0.00000 -59.40 2.50
1.00000 -0.01690 0.07976 -0.00000 -59.28 2.50
1.00000 -0.01693 0.07976 -0.00000 -59.16 2.50
1.00000 -0.01697 0.07976 -0.00000 -59.04 2.50
1.00000 -0.01700 0.07976 -0.00000 -58.92 2.50
1.00000 -0.01703 0.07976 -0.00000 -58.80 2.50
1.00000 -0.01707 0.07976 -0.00000 -58.68 2.50
1.00000 -0.01710 0.07976 -0.00000 -58.56 2.50
1.00000 -0.01714 0.07976 -0.00000 -58.44 2.50
1.00000 -0.01718 0.07976 -0.00000 -58.32 2.50
1.00000 -0.01721 0.07976 -0.00000 -58.20 2.50
1.00000 -0.01725 0.07976 -0.00000 -58.08 2.50
1.00000 -0.01728 0.07976 -0.00000 -57.96 2.50
1.00000 -0.01732 0.07976 -0.00000 -57.84 2.50
1.00000 -0.01735 0.07976 -0.00000 -57.72 2.50
1.00000 -0.01739 0.07976 -0.00000 -57.60 2.50
1.00000 -0.01743 0.07976 -0.00000 -57.48 2.50
1.00000 -0.01746 0.07976 -0.00000 -57.36 2.50
1.00000 -0.01750 0.07976 -0.00000 -57.24 2.50
1.00000 -0.01754 0.07976 -0.00000 -57.12 2.50
1.00000 -0.01757 0.07976 -0.00000 -57.00 2.50
1.00000 -0.01761 0.07976 -0.00000 -56.88 2.50
1.00000 -0.01765 0.07976 -0.00000 -56.76 2.50
1.00000 -0.01769 0.07976 -0.00000 -56.64 2.50
1.00000 -0.01772 0.07976 -0.00000 -56.52 2.50
1.00000 -0.01776 0.07976 -0.00000 -56.40 2.50
1.00000 -0.01780 0.07976 -0.00000 -56.28 2.50
1.00000 -0.01784 0.07976 -0.00000 -56.16 2.50
1.00000 -0.01788 0.07976 -0.00000 -56.04 2.50
1.00000 -0.01791 0.07976 -0.00000 -55.92 2.50
1.00000 -0.01795 0.07976 -0.00000 -55.80 2.50
1.00000 -0.01799 0.07976 -0.00000 -55.68 2.50
1.00000 -0.01803 0.07976 -0.00000 -55.56 2.50
1.00000 -0.01807 0.07976 -0.00000 -55.44 2.50
1.00000 -0.01811 0.07976 -0.00000 -55.32 2.50
1.00000 -0.01815 0.07976 -0.00000 -55.20 2.50
1.00000 -0.01819 0.07976 -0.00000 -55.08 2.50
1.00000 -0.01823 0.07976 -0.00000 -54.96 2.50
1.00000 -0.01827 0.07976 -0.00000 -54.84 2.50
1.00000 -0.01831 0.07976 -0.00000 -54.72 2.50
1.00000 -0.01835 0.07976 -0.00000 -54.60 2.50
1.00000 -0.01839 0.07976 -0.00000 -54.48 2.50
1.00000 -0.01843 0.07976 -0.00000 -54.36 2.50
1.00000 -0.01847 0.07976 -0.00000 -54.24 2.50
1.00000 -0.01851 0.07976 -0.00000 -54.12 2.50
1.00000 -0.01855 0.07976 -0.00000 -54.00 2.50
1.00000 -0.01859 0.07975 -0.00000 -53.88 2.50
1.00000 -0.01864 0.07975 -0.00000 -53.76 2.50
1.00000 -0.01868 0.07975 -0.00000 -53.64 2.50
1.00000 -0.01872 0.07975 -0.00000 -53.52 2.50
1.00000 -0.01876 0.07975 -0.00000 -53.40 2.50
1.00000 -0.01880 0.07975 -0.00000 -53.28 2.50
1.00000 -0.01885 0.07975 -0.00000 -53.16 2.50
1.00000 -0.01889 0.07975 -0.00000 -53.04 2.50
1.00000 -0.01893 0.07975 -0.00000 -52.92 2.50
1.00000 -0.01897 0.07975 -0.00000 -52.80 2.50
1.00000 -0.01902 0.07975 -0.00000 -52.68 2.50
