# a0 a2 a4 a6 delta sigma
1.00000 0.45455 -0.24242 -0.00000 0.00 0.10
1.00000 0.45455 -0.24242 -0.00000 0.00 0.10
1.00000 0.45455 -0.24242 -0.00000 0.00 0.11
1.00000 0.45455 -0.24242 -0.00000 0.00 0.11
1.00000 0.45455 -0.24242 -0.00000 0.00 0.12
1.00000 0.45455 -0.24242 -0.00000 0.00 0.12
1.00000 0.45455 -0.24242 -0.00000 0.00 0.12
1.00000 0.45455 -0.24242 -0.00000 0.00 0.13
1.00000 0.45455 -0.24242 -0.00000 0.00 0.13
1.00000 0.45455 -0.24242 -0.00000 0.00 0.14
1.00000 0.45455 -0.24242 -0.00000 0.00 0.14
1.00000 0.45455 -0.24242 -0.00000 0.00 0.14
1.00000 0.45455 -0.24242 -0.00000 0.00 0.15
1.00000 0.45455 -0.24242 -0.00000 0.00 0.15
1.00000 0.45455 -0.24242 -0.00000 0.00 0.16
1.00000 0.45455 -0.24242 -0.00000 0.00 0.16
1.00000 0.45455 -0.24242 -0.00000 0.00 0.16
1.00000 0.45455 -0.24242 -0.00000 0.00 0.17
1.00000 0.45455 -0.24242 -0.00000 0.00 0.17
1.00000 0.45455 -0.24242 -0.00000 0.00 0.18
1.00000 0.45455 -0.24242 -0.00000 0.00 0.18
1.00000 0.45455 -0.24242 -0.00000 0.00 0.18
1.00000 0.45455 -0.24242 -0.00000 0.00 0.19
1.00000 0.45455 -0.24242 -0.00000 0.00 0.19
1.00000 0.45455 -0.24242 -0.00000 0.00 0.20
1.00000 0.45455 -0.24242 -0.00000 0.00 0.20
1.00000 0.45455 -0.24242 -0.00000 0.00 0.20
1.00000 0.45454 -0.24242 -0.00000 0.00 0.21
1.00000 0.45454 -0.24242 -0.00000 0.00 0.21
1.00000 0.45454 -0.24242 -0.00000 0.00 0.22
1.00000 0.45454 -0.24242 -0.00000 0.00 0.22
1.00000 0.45454 -0.24242 -0.00000 0.00 0.22
1.00000 0.45454 -0.24242 -0.00000 0.00 0.23
1.00000 0.45454 -0.24241 -0.00000 0.00 0.23
1.00000 0.45454 -0.24241 -0.00000 0.00 0.24
1.00000 0.45453 -0.24240 -0.00000 0.00 0.24
1.00000 0.45453 -0.24240 -0.00000 0.00 0.24
1.00000 0.45453 -0.24239 -0.00000 0.00 0.25
1.00000 0.45452 -0.24238 -0.00000 0.00 0.25
1.00000 0.45451 -0.24237 -0.00000 0.00 0.26
1.00000 0.45451 -0.24235 -0.00000 0.00 0.26
1.00000 0.45450 -0.24234 -0.00000 0.00 0.26
1.00000 0.45448 -0.24232 -0.00000 0.00 0.27
1.00000 0.45447 -0.24229 -0.00000 0.00 0.27
1.00000 0.45445 -0.24226 -0.00000 0.00 0.28
1.00000 0.45444 -0.24223 -0.00000 0.00 0.28
1.00000 0.45441 -0.24219 -0.00000 0.00 0.28
1.00000 0.45439 -0.24215 -0.00000 0.00 0.29
1.00000 0.45436 -0.24210 -0.00000 0.00 0.29
1.00000 0.45433 -0.24204 -0.00000 0.00 0.30
1.00000 0.45430 -0.24198 -0.00000 0.00 0.30
1.00000 0.45426 -0.24191 -0.00000 0.00 0.30
1.00000 0.45422 -0.24184 -0.00000 0.00 0.31
1.00000 0.45417 -0.24175 -0.00000 0.00 0.31
1.00000 0.45412 -0.24166 -0.00000 0.00 0.32
1.00000 0.45406 -0.24156 -0.00000 0.00 0.32
1.00000 0.45400 -0.24145 -0.00000 0.00 0.32
1.00000 0.45393 -0.24134 -0.00000 0.00 0.33
1.00000 0.45386 -0.24121 -0.00000 0.00 0.33
1.00000 0.45379 -0.24108 -0.00000 0.00 0.34
1.00000 0.45371 -0.24094 -0.00000 0.00 0.34
