# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.15917 -0.07333 0.00000 -47.76 3.00
1.00000 -0.15919 -0.07333 0.00000 -47.64 3.00
1.00000 -0.15920 -0.07333 0.00000 -47.52 3.00
1.00000 -0.15921 -0.07333 0.00000 -47.40 3.00
1.00000 -0.15922 -0.07333 0.00000 -47.28 3.00
1.00000 -0.15923 -0.07333 0.00000 -47.16 3.00
1.00000 -0.15925 -0.07333 0.00000 -47.04 3.00
1.00000 -0.15926 -0.07333 0.00000 -46.92 3.00
1.00000 -0.15927 -0.07333 0.00000 -46.80 3.00
1.00000 -0.15928 -0.07333 0.00000 -46.68 3.00
1.00000 -0.15930 -0.07333 0.00000 -46.56 3.00
1.00000 -0.15931 -0.07332 0.00000 -46.44 3.00
1.00000 -0.15932 -0.07332 0.00000 -46.32 3.00
1.00000 -0.15933 -0.07332 0.00000 -46.20 3.00
1.00000 -0.15935 -0.07332 0.00000 -46.08 3.00
1.00000 -0.15936 -0.07332 0.00000 -45.96 3.00
1.00000 -0.15937 -0.07332 0.00000 -45.84 3.00
1.00000 -0.15938 -0.07332 0.00000 -45.72 3.00
1.00000 -0.15940 -0.07332 0.00000 -45.60 3.00
1.00000 -0.15941 -0.07332 0.00000 -45.48 3.00
1.00000 -0.15942 -0.07332 0.00000 -45.36 3.00
1.00000 -0.15944 -0.07332 0.00000 -45.24 3.00
1.00000 -0.15945 -0.07332 0.00000 -45.12 3.00
1.00000 -0.15946 -0.07332 0.00000 -45.00 3.00
1.00000 -0.15948 -0.07332 0.00000 -44.88 3.00
1.00000 -0.15949 -0.07332 0.00000 -44.76 3.00
1.00000 -0.15950 -0.07332 0.00000 -44.64 3.00
1.00000 -0.15952 -0.07332 0.00000 -44.52 3.00
1.00000 -0.15953 -0.07332 0.00000 -44.40 3.00
1.00000 -0.15955 -0.07332 0.00000 -44.28 3.00
1.00000 -0.15956 -0.07332 0.00000 -44.16 3.00
1.00000 -0.15957 -0.07332 0.00000 -44.04 3.00
1.00000 -0.15959 -0.07332 0.00000 -43.92 3.00
1.00000 -0.15960 -0.07332 0.00000 -43.80 3.00
1.00000 -0.15961 -0.07332 0.00000 -43.68 3.00
1.00000 -0.15963 -0.07332 0.00000 -43.56 3.00
1.00000 -0.15964 -0.07332 0.00000 -43.44 3.00
1.00000 -0.15966 -0.07332 0.00000 -43.32 3.00
1.00000 -0.15967 -0.07332 0.00000 -43.20 3.00
1.00000 -0.15969 -0.07332 0.00000 -43.08 3.00
1.00000 -0.15970 -0.07332 0.00000 -42.96 3.00
1.00000 -0.15972 -0.07332 0.00000 -42.84 3.00
1.00000 -0.15973 -0.07332 0.00000 -42.72 3.00
1.00000 -0.15975 -0.07332 0.00000 -42.60 3.00
1.00000 -0.15976 -0.07332 0.00000 -42.48 3.00
1.00000 -0.15978 -0.07332 0.00000 -42.36 3.00
1.00000 -0.15979 -0.07332 0.00000 -42.24 3.00
1.00000 -0.15981 -0.07332 0.00000 -42.12 3.00
1.00000 -0.15982 -0.07332 0.00000 -42.00 3.00
1.00000 -0.15984 -0.07332 0.00000 -41.88 3.00
1.00000 -0.15985 -0.07332 0.00000 -41.76 3.00
1.00000 -0.15987 -0.07332 0.00000 -41.64 3.00
1.00000 -0.15988 -0.07332 0.00000 -41.52 3.00
1.00000 -0.15990 -0.07332 0.00000 -41.40 3.00
1.00000 -0.15991 -0.07332 0.00000 -41.28 3.00
