# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.09534 -0.04661 -0.00000 -60.00 1.00
1.00000 -0.09537 -0.04661 -0.00000 -59.88 1.00
1.00000 -0.09540 -0.04661 -0.00000 -59.76 1.00
1.00000 -0.09542 -0.04661 -0.00000 -59.64 1.00
1.00000 -0.09545 -0.04661 -0.00000 -59.52 1.00
1.00000 -0.09547 -0.04661 -0.00000 -59.40 1.00
1.00000 -0.09550 -0.04661 -0.00000 -59.28 1.00
1.00000 -0.09553 -0.04661 -0.00000 -59.16 1.00
1.00000 -0.09555 -0.04661 -0.00000 -59.04 1.00
1.00000 -0.09558 -0.04661 -0.00000 -58.92 1.00
1.00000 -0.09561 -0.04661 -0.00000 -58.80 1.00
1.00000 -0.09563 -0.04661 -0.00000 -58.68 1.00
1.00000 -0.09566 -0.04661 -0.00000 -58.56 1.00
1.00000 -0.09569 -0.04661 -0.00000 -58.44 1.00
1.00000 -0.09572 -0.04661 -0.00000 -58.32 1.00
1.00000 -0.09574 -0.04661 -0.00000 -58.20 1.00
1.00000 -0.09577 -0.04661 -0.00000 -58.08 1.00
1.00000 -0.09580 -0.04661 -0.00000 -57.96 1.00
1.00000 -0.09583 -0.04661 -0.00000 -57.84 1.00
1.00000 -0.09585 -0.04661 -0.00000 -57.72 1.00
1.00000 -0.09588 -0.04661 -0.00000 -57.60 1.00
1.00000 -0.09591 -0.04661 -0.00000 -57.48 1.00
1.00000 -0.09594 -0.04661 -0.00000 -57.36 1.00
1.00000 -0.09597 -0.04661 -0.00000 -57.24 1.00
1.00000 -0.09599 -0.04661 -0.00000 -57.12 1.00
1.00000 -0.09602 -0.04660 -0.00000 -57.00 1.00
1.00000 -0.09605 -0.04660 -0.00000 -56.88 1.00
1.00000 -0.09608 -0.04660 -0.00000 -56.76 1.00
1.00000 -0.09611 -0.04660 -0.00000 -56.64 1.00
1.00000 -0.09614 -0.04660 -0.00000 -56.52 1.00
1.00000 -0.09617 -0.04660 -0.00000 -56.40 1.00
1.00000 -0.09620 -0.04660 -0.00000 -56.28 1.00
1.00000 -0.09623 -0.04660 -0.00000 -56.16 1.00
1.00000 -0.09626 -0.04660 -0.00000 -56.04 1.00
1.00000 -0.09629 -0.04660 -0.00000 -55.92 1.00
1.00000 -0.09632 -0.04660 -0.00000 -55.80 1.00
1.00000 -0.09635 -0.04660 -0.00000 -55.68 1.00
1.00000 -0.09638 -0.04660 -0.00000 -55.56 1.00
1.00000 -0.09641 -0.04660 -0.00000 -55.44 1.00
1.00000 -0.09644 -0.04660 -0.00000 -55.32 1.00
1.00000 -0.09647 -0.04660 -0.00000 -55.20 1.00
1.00000 -0.09650 -0.04660 -0.00000 -55.08 1.00
1.00000 -0.09653 -0.04660 -0.00000 -54.96 1.00
1.00000 -0.09656 -0.04660 -0.00000 -54.84 1.00
1.00000 -0.09659 -0.04660 -0.00000 -54.72 1.00
1.00000 -0.09662 -0.04660 -0.00000 -54.60 1.00
1.00000 -0.09665 -0.04660 -0.00000 -54.48 1.00
1.00000 -0.09668 -0.04660 -0.00000 -54.36 1.00
1.00000 -0.09671 -0.04660 -0.00000 -54.24 1.00
1.00000 -0.09675 -0.04660 -0.00000 -54.12 1.00
1.00000 -0.09678 -0.04660 -0.00000 -54.00 1.00
1.00000 -0.09681 -0.04660 -0.00000 -53.88 1.00
1.00000 -0.09684 -0.04660 -0.00000 -53.76 1.00
1.00000 -0.09687 -0.04660 -0.00000 -53.64 1.00
1.00000 -0.09691 -0.04660 -0.00000 -53.52 1.00
1.00000 -0.09694 -0.04660 -0.00000 -53.40 1.00
1.00000 -0.09697 -0.04660 -0.00000 -53.28 1.00
1.00000 -0.09700 -0.04660 -0.00000 -53.16 1.00
1.00000 -0.09704 -0.04660 -0.00000 -53.04 1.00
1.00000 -0.09707 -0.04660 -0.00000 -52.92 1.00
1.00000 -0.09710 -0.04660 -0.00000 -52.80 1.00
1.00000 -0.09714 -0.04660 -0.00000 -52.68 1.00
1.00000 -0.09717 -0.04660 -0.00000 -52.56 1.00
1.00000 -0.09720 -0.04660 -0.00000 -52.44 1.00
1.00000 -0.09724 -0.04660 -0.00000 -52.32 1.00
1.00000 -0.09727 -0.04660 -0.00000 -52.20 1.00
1.00000 -0.09731 -0.04660 -0.00000 -52.08 1.00
1.00000 -0.09734 -0.04660 -0.00000 -51.96 1.00
1.00000 -0.09737 -0.04660 -0.00000 -51.84 1.00
1.00000 -0.09741 -0.04660 -0.00000 -51.72 1.00
1.00000 -0.09744 -0.04660 -0.00000 -51.60 1.00
1.00000 -0.09748 -0.04660 -0.00000 -51.48 1.00
1.00000 -0.09751 -0.04660 -0.00000 -51.36 1.00
1.00000 -0.09755 -0.04660 -0.00000 -51.24 1.00
1.00000 -0.09758 -0.04660 -0.00000 -51.12 1.00
1.00000 -0.09762 -0.04660 -0.00000 -51.00 1.00
1.00000 -0.09766 -0.04660 -0.00000 -50.88 1.00
1.00000 -0.09769 -0.04660 -0.00000 -50.76 1.00
1.00000 -0.09773 -0.04660 -0.00000 -50.64 1.00
1.00000 -0.09776 -0.04660 -0.00000 -50.52 1.00
1.00000 -0.09780 -0.04660 -0.00000 -50.40 1.00
1.00000 -0.09784 -0.04660 -0.00000 -50.28 1.00
1.00000 -0.09787 -0.04660 -0.00000 -50.16 1.00
1.00000 -0.09791 -0.04660 -0.00000 -50.04 1.00
1.00000 -0.09795 -0.04660 -0.00000 -49.92 1.00
1.00000 -0.09798 -0.04660 -0.00000 -49.80 1.00
1.00000 -0.09802 -0.04660 -0.00000 -49.68 1.00
1.00000 -0.09806 -0.04660 -0.00000 -49.56 1.00
1.00000 -0.09810 -0.04660 -0.00000 -49.44 1.00
1.00000 -0.09814 -0.04660 -0.00000 -49.32 1.00
1.00000 -0.09817 -0.04660 -0.00000 -49.20 1.00
1.00000 -0.09821 -0.04660 -0.00000 -49.08 1.00
1.00000 -0.09825 -0.04660 -0.00000 -48.96 1.00
1.00000 -0.09829 -0.04660 -0.00000 -48.84 1.00
1.00000 -0.09833 -0.04660 -0.00000 -48.72 1.00
1.00000 -0.09837 -0.04660 -0.00000 -48.60 1.00
1.00000 -0.09841 -0.04660 -0.00000 -48.48 1.00
1.00000 -0.09845 -0.04660 -0.00000 -48.36 1.00
1.00000 -0.09849 -0.04660 -0.00000 -48.24 1.00
1.00000 -0.09853 -0.04660 -0.00000 -48.12 1.00
1.00000 -0.09857 -0.04660 -0.00000 -48.00 1.00
1.00000 -0.09861 -0.04660 -0.00000 -47.88 1.00
1.00000 -0.09865 -0.04660 -0.00000 -47.76 1.00
1.00000 -0.09869 -0.04660 -0.00000 -47.64 1.00
