# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.03133 0.07334 -0.00000 -60.00 3.00
1.00000 -0.03136 0.07334 -0.00000 -59.88 3.00
1.00000 -0.03139 0.07334 -0.00000 -59.76 3.00
1.00000 -0.03142 0.07334 -0.00000 -59.64 3.00
1.00000 -0.03146 0.07334 -0.00000 -59.52 3.00
1.00000 -0.03149 0.07334 -0.00000 -59.40 3.00
1.00000 -0.03152 0.07334 -0.00000 -59.28 3.00
1.00000 -0.03156 0.07334 -0.00000 -59.16 3.00
1.00000 -0.03159 0.07334 -0.00000 -59.04 3.00
1.00000 -0.03162 0.07334 -0.00000 -58.92 3.00
1.00000 -0.03166 0.07334 -0.00000 -58.80 3.00
1.00000 -0.03169 0.07334 -0.00000 -58.68 3.00
1.00000 -0.03172 0.07334 -0.00000 -58.56 3.00
1.00000 -0.03176 0.07334 -0.00000 -58.44 3.00
1.00000 -0.03179 0.07334 -0.00000 -58.32 3.00
1.00000 -0.03183 0.07334 -0.00000 -58.20 3.00
1.00000 -0.03186 0.07334 -0.00000 -58.08 3.00
1.00000 -0.03190 0.07334 -0.00000 -57.96 3.00
1.00000 -0.03193 0.07334 -0.00000 -57.84 3.00
1.00000 -0.03197 0.07334 -0.00000 -57.72 3.00
1.00000 -0.03200 0.07334 -0.00000 -57.60 3.00
1.00000 -0.03204 0.07334 -0.00000 -57.48 3.00
1.00000 -0.03207 0.07334 -0.00000 -57.36 3.00
1.00000 -0.03211 0.07334 -0.00000 -57.24 3.00
1.00000 -0.03214 0.07334 -0.00000 -57.12 3.00
1.00000 -0.03218 0.07334 -0.00000 -57.00 3.00
1.00000 -0.03222 0.07334 -0.00000 -56.88 3.00
1.00000 -0.03225 0.07334 -0.00000 -56.76 3.00
1.00000 -0.03229 0.07334 -0.00000 -56.64 3.00
1.00000 -0.03232 0.07334 -0.00000 -56.52 3.00
1.00000 -0.03236 0.07334 -0.00000 -56.40 3.00
1.00000 -0.03240 0.07334 -0.00000 -56.28 3.00
1.00000 -0.03244 0.07334 -0.00000 -56.16 3.00
1.00000 -0.03247 0.07334 -0.00000 -56.04 3.00
1.00000 -0.03251 0.07334 -0.00000 -55.92 3.00
1.00000 -0.03255 0.07334 -0.00000 -55.80 3.00
1.00000 -0.03258 0.07334 -0.00000 -55.68 3.00
1.00000 -0.03262 0.07334 -0.00000 -55.56 3.00
1.00000 -0.03266 0.07334 -0.00000 -55.44 3.00
1.00000 -0.03270 0.07333 -0.00000 -55.32 3.00
1.00000 -0.03274 0.07333 -0.00000 -55.20 3.00
1.00000 -0.03278 0.07333 -0.00000 -55.08 3.00
1.00000 -0.03281 0.07333 -0.00000 -54.96 3.00
1.00000 -0.03285 0.07333 -0.00000 -54.84 3.00
