# a0 a2 a4 a6 delta sigma
1.00000 0.50987 -0.36654 -0.00000 0.00 0.29
1.00000 0.50982 -0.36643 -0.00000 0.00 0.29
1.00000 0.50977 -0.36631 -0.00000 0.00 0.29
1.00000 0.50972 -0.36618 -0.00000 0.00 0.30
1.00000 0.50966 -0.36604 -0.00000 0.00 0.30
1.00000 0.50960 -0.36589 -0.00000 0.00 0.30
1.00000 0.50953 -0.36572 -0.00000 0.00 0.30
1.00000 0.50945 -0.36554 -0.00000 0.00 0.31
1.00000 0.50937 -0.36535 -0.00000 0.00 0.31
1.00000 0.50929 -0.36514 -0.00000 0.00 0.31
1.00000 0.50919 -0.36492 -0.00000 0.00 0.32
1.00000 0.50910 -0.36469 -0.00000 0.00 0.32
1.00000 0.50899 -0.36444 -0.00000 0.00 0.32
1.00000 0.50888 -0.36417 -0.00000 0.00 0.33
1.00000 0.50876 -0.36389 -0.00000 0.00 0.33
1.00000 0.50864 -0.36360 -0.00000 0.00 0.33
1.00000 0.50851 -0.36328 -0.00000 0.00 0.33
1.00000 0.50837 -0.36296 -0.00000 0.00 0.34
1.00000 0.50823 -0.36261 -0.00000 0.00 0.34
1.00000 0.50808 -0.36225 -0.00000 0.00 0.34
1.00000 0.50792 -0.36188 -0.00000 0.00 0.35
1.00000 0.50776 -0.36148 -0.00000 0.00 0.35
1.00000 0.50759 -0.36107 -0.00000 0.00 0.35
1.00000 0.50741 -0.36065 -0.00000 0.00 0.35
1.00000 0.50723 -0.36021 -0.00000 0.00 0.36
1.00000 0.50704 -0.35975 -0.00000 0.00 0.36
1.00000 0.50684 -0.35928 -0.00000 0.00 0.36
1.00000 0.50664 -0.35879 -0.00000 0.00 0.37
1.00000 0.50643 -0.35829 -0.00000 0.00 0.37
1.00000 0.50621 -0.35777 -0.00000 0.00 0.37
1.00000 0.50599 -0.35724 -0.00000 0.00 0.38
1.00000 0.50577 -0.35669 -0.00000 0.00 0.38
1.00000 0.50553 -0.35613 -0.00000 0.00 0.38
1.00000 0.50529 -0.35556 -0.00000 0.00 0.39
1.00000 0.50505 -0.35497 -0.00000 0.00 0.39
1.00000 0.50480 -0.35438 -0.00000 0.00 0.39
1.00000 0.50454 -0.35376 -0.00000 0.00 0.39
1.00000 0.50428 -0.35314 -0.00000 0.00 0.40
1.00000 0.50402 -0.35251 -0.00000 0.00 0.40
1.00000 0.50375 -0.35186 -0.00000 0.00 0.40
1.00000 0.50348 -0.35121 -0.00000 0.00 0.41
1.00000 0.50320 -0.35054 -0.00000 0.00 0.41
1.00000 0.50292 -0.34986 -0.00000 0.00 0.41
1.00000 0.50263 -0.34918 -0.00000 0.00 0.42
1.00000 0.50235 -0.34849 -0.00000 0.00 0.42
1.00000 0.50205 -0.34779 -0.00000 0.00 0.42
1.00000 0.50176 -0.34708 -0.00000 0.00 0.42
1.00000 0.50146 -0.34637 -0.00000 0.00 0.43
1.00000 0.50116 -0.34564 -0.00000 0.00 0.43
1.00000 0.50086 -0.34492 -0.00000 0.00 0.43
1.00000 0.50055 -0.34418 -0.00000 0.00 0.44
1.00000 0.50024 -0.34345 -0.00000 0.00 0.44
1.00000 0.49993 -0.34270 -0.00000 0.00 0.44
1.00000 0.49962 -0.34196 -0.00000 0.00 0.45
1.00000 0.49931 -0.34120 -0.00000 0.00 0.45
1.00000 0.49899 -0.34045 -0.00000 0.00 0.45
1.00000 0.49868 -0.33969 -0.00000 0.00 0.45
1.00000 0.49836 -0.33893 -0.00000 0.00 0.46
1.00000 0.49804 -0.33817 -0.00000 0.00 0.46
1.00000 0.49772 -0.33740 -0.00000 0.00 0.46
1.00000 0.49740 -0.33664 -0.00000 0.00 0.47
1.00000 0.49708 -0.33587 -0.00000 0.00 0.47
1.00000 0.49676 -0.33510 -0.00000 0.00 0.47
1.00000 0.49643 -0.33433 -0.00000 0.00 0.47
1.00000 0.49611 -0.33356 -0.00000 0.00 0.48
1.00000 0.49579 -0.33279 -0.00000 0.00 0.48
1.00000 0.49547 -0.33202 -0.00000 0.00 0.48
1.00000 0.49515 -0.33126 -0.00000 0.00 0.49
1.00000 0.49482 -0.33049 -0.00000 0.00 0.49
1.00000 0.49450 -0.32972 -0.00000 0.00 0.49
1.00000 0.49418 -0.32895 -0.00000 0.00 0.50
1.00000 0.49386 -0.32819 -0.00000 0.00 0.50
1.00000 0.49353 -0.32742 -0.00000 0.00 0.50
1.00000 0.49321 -0.32666 -0.00000 0.00 0.51
1.00000 0.49289 -0.32590 -0.00000 0.00 0.51
1.00000 0.49257 -0.32513 -0.00000 0.00 0.51
1.00000 0.49225 -0.32438 -0.00000 0.00 0.51
1.00000 0.49193 -0.32362 -0.00000 0.00 0.52
1.00000 0.49161 -0.32286 -0.00000 0.00 0.52
1.00000 0.49130 -0.32211 -0.00000 0.00 0.52
1.00000 0.49098 -0.32136 -0.00000 0.00 0.53
1.00000 0.49066 -0.32061 -0.00000 0.00 0.53
1.00000 0.49034 -0.31987 -0.00000 0.00 0.53
1.00000 0.49003 -0.31912 -0.00000 0.00 0.54
1.00000 0.48971 -0.31838 -0.00000 0.00 0.54
1.00000 0.48940 -0.31764 -0.00000 0.00 0.54
1.00000 0.48908 -0.31690 -0.00000 0.00 0.54
1.00000 0.48877 -0.31617 -0.00000 0.00 0.55
1.00000 0.48846 -0.31543 -0.00000 0.00 0.55
1.00000 0.48814 -0.31470 -0.00000 0.00 0.55
1.00000 0.48783 -0.31397 -0.00000 0.00 0.56
1.00000 0.48752 -0.31324 -0.00000 0.00 0.56
1.00000 0.48721 -0.31252 -0.00000 0.00 0.56
1.00000 0.48690 -0.31180 -0.00000 0.00 0.57
1.00000 0.48659 -0.31108 -0.00000 0.00 0.57
1.00000 0.48628 -0.31036 -0.00000 0.00 0.57
1.00000 0.48597 -0.30964 -0.00000 0.00 0.57
1.00000 0.48566 -0.30893 -0.00000 0.00 0.58
1.00000 0.48535 -0.30821 -0.00000 0.00 0.58
1.00000 0.48504 -0.30750 -0.00000 0.00 0.58
1.00000 0.48473 -0.30679 -0.00000 0.00 0.59
1.00000 0.48442 -0.30608 -0.00000 0.00 0.59
1.00000 0.48412 -0.30538 -0.00000 0.00 0.59
1.00000 0.48381 -0.30467 -0.00000 0.00 0.59
1.00000 0.48350 -0.30397 -0.00000 0.00 0.60
1.00000 0.48319 -0.30327 -0.00000 0.00 0.60
1.00000 0.48288 -0.30257 -0.00000 0.00 0.60
1.00000 0.48258 -0.30187 -0.00000 0.00 0.61
1.00000 0.48227 -0.30117 -0.00000 0.00 0.61
1.00000 0.48196 -0.30047 -0.00000 0.00 0.61
1.00000 0.48165 -0.29977 -0.00000 0.00 0.62
1.00000 0.48134 -0.29908 -0.00000 0.00 0.62
1.00000 0.48103 -0.29838 -0.00000 0.00 0.62
1.00000 0.48072 -0.29769 -0.00000 0.00 0.62
1.00000 0.48041 -0.29700 -0.00000 0.00 0.63
1.00000 0.48010 -0.29630 -0.00000 0.00 0.63
1.00000 0.47979 -0.29561 -0.00000 0.00 0.63
1.00000 0.47948 -0.29492 -0.00000 0.00 0.64
1.00000 0.47917 -0.29423 -0.00000 0.00 0.64
1.00000 0.47886 -0.29354 -0.00000 0.00 0.64
1.00000 0.47854 -0.29285 -0.00000 0.00 0.65
1.00000 0.47823 -0.29216 -0.00000 0.00 0.65
1.00000 0.47792 -0.29147 -0.00000 0.00 0.65
1.00000 0.47760 -0.29078 -0.00000 0.00 0.66
1.00000 0.47729 -0.29009 -0.00000 0.00 0.66
1.00000 0.47697 -0.28940 -0.00000 0.00 0.66
1.00000 0.47666 -0.28871 -0.00000 0.00 0.66
1.00000 0.47634 -0.28802 -0.00000 0.00 0.67
1.00000 0.47602 -0.28733 -0.00000 0.00 0.67
1.00000 0.47570 -0.28664 -0.00000 0.00 0.67
1.00000 0.47538 -0.28595 -0.00000 0.00 0.68
1.00000 0.47506 -0.28526 -0.00000 0.00 0.68
1.00000 0.47474 -0.28457 -0.00000 0.00 0.68
1.00000 0.47442 -0.28388 -0.00000 0.00 0.68
1.00000 0.47410 -0.28319 -0.00000 0.00 0.69
1.00000 0.47377 -0.28249 -0.00000 0.00 0.69
1.00000 0.47345 -0.28180 -0.00000 0.00 0.69
1.00000 0.47312 -0.28111 -0.00000 0.00 0.70
1.00000 0.47280 -0.28042 -0.00000 0.00 0.70
1.00000 0.47247 -0.27972 -0.00000 0.00 0.70
1.00000 0.47214 -0.27903 -0.00000 0.00 0.71
1.00000 0.47181 -0.27833 -0.00000 0.00 0.71
1.00000 0.47148 -0.27763 -0.00000 0.00 0.71
1.00000 0.47115 -0.27694 -0.00000 0.00 0.71
1.00000 0.47081 -0.27624 -0.00000 0.00 0.72
1.00000 0.47048 -0.27554 -0.00000 0.00 0.72
1.00000 0.47014 -0.27484 -0.00000 0.00 0.72
1.00000 0.46981 -0.27414 -0.00000 0.00 0.73
1.00000 0.46947 -0.27344 -0.00000 0.00 0.73
1.00000 0.46913 -0.27274 -0.00000 0.00 0.73
1.00000 0.46879 -0.27204 -0.00000 0.00 0.74
1.00000 0.46845 -0.27133 -0.00000 0.00 0.74
1.00000 0.46810 -0.27063 -0.00000 0.00 0.74
1.00000 0.46776 -0.26993 -0.00000 0.00 0.74
1.00000 0.46742 -0.26922 -0.00000 0.00 0.75
1.00000 0.46707 -0.26851 -0.00000 0.00 0.75
1.00000 0.46672 -0.26781 -0.00000 0.00 0.75
1.00000 0.46637 -0.26710 -0.00000 0.00 0.76
1.00000 0.46602 -0.26639 -0.00000 0.00 0.76
1.00000 0.46567 -0.26568 -0.00000 0.00 0.76
1.00000 0.46532 -0.26497 -0.00000 0.00 0.77
1.00000 0.46496 -0.26425 -0.00000 0.00 0.77
1.00000 0.46461 -0.26354 -0.00000 0.00 0.77
1.00000 0.46425 -0.26283 -0.00000 0.00 0.78
1.00000 0.46390 -0.26211 -0.00000 0.00 0.78
1.00000 0.46354 -0.26140 -0.00000 0.00 0.78
1.00000 0.46318 -0.26068 -0.00000 0.00 0.78
1.00000 0.46281 -0.25996 -0.00000 0.00 0.79
1.00000 0.46245 -0.25924 -0.00000 0.00 0.79
1.00000 0.46209 -0.25852 -0.00000 0.00 0.79
1.00000 0.46172 -0.25780 -0.00000 0.00 0.80
1.00000 0.46136 -0.25708 -0.00000 0.00 0.80
1.00000 0.46099 -0.25636 -0.00000 0.00 0.80
1.00000 0.46062 -0.25564 -0.00000 0.00 0.80
1.00000 0.46025 -0.25491 -0.00000 0.00 0.81
1.00000 0.45987 -0.25419 -0.00000 0.00 0.81
1.00000 0.45950 -0.25346 -0.00000 0.00 0.81
1.00000 0.45913 -0.25274 -0.00000 0.00 0.82
1.00000 0.45875 -0.25201 -0.00000 0.00 0.82
1.00000 0.45837 -0.25128 -0.00000 0.00 0.82
1.00000 0.45799 -0.25055 -0.00000 0.00 0.83
1.00000 0.45761 -0.24982 -0.00000 0.00 0.83
1.00000 0.45723 -0.24909 -0.00000 0.00 0.83
1.00000 0.45685 -0.24836 -0.00000 0.00 0.83
1.00000 0.45646 -0.24763 -0.00000 0.00 0.84
1.00000 0.45608 -0.24690 -0.00000 0.00 0.84
1.00000 0.45569 -0.24616 -0.00000 0.00 0.84
1.00000 0.45530 -0.24543 -0.00000 0.00 0.85
1.00000 0.45491 -0.24469 -0.00000 0.00 0.85
1.00000 0.45452 -0.24396 -0.00000 0.00 0.85
1.00000 0.45413 -0.24322 -0.00000 0.00 0.86
1.00000 0.45374 -0.24249 -0.00000 0.00 0.86
1.00000 0.45334 -0.24175 -0.00000 0.00 0.86
1.00000 0.45294 -0.24101 -0.00000 0.00 0.86
1.00000 0.45255 -0.24027 -0.00000 0.00 0.87
1.00000 0.45215 -0.23953 -0.00000 0.00 0.87
1.00000 0.45175 -0.23879 -0.00000 0.00 0.87
1.00000 0.45134 -0.23805 -0.00000 0.00 0.88
1.00000 0.45094 -0.23731 -0.00000 0.00 0.88
1.00000 0.45053 -0.23657 -0.00000 0.00 0.88
1.00000 0.45013 -0.23583 -0.00000 0.00 0.89
1.00000 0.44972 -0.23509 -0.00000 0.00 0.89
1.00000 0.44931 -0.23435 -0.00000 0.00 0.89
1.00000 0.44890 -0.23360 -0.00000 0.00 0.90
1.00000 0.44849 -0.23286 -0.00000 0.00 0.90
1.00000 0.44808 -0.23211 -0.00000 0.00 0.90
1.00000 0.44766 -0.23137 -0.00000 0.00 0.90
1.00000 0.44725 -0.23063 -0.00000 0.00 0.91
1.00000 0.44683 -0.22988 -0.00000 0.00 0.91
1.00000 0.44641 -0.22914 -0.00000 0.00 0.91
1.00000 0.44599 -0.22839 -0.00000 0.00 0.92
1.00000 0.44557 -0.22764 -0.00000 0.00 0.92
1.00000 0.44515 -0.22690 -0.00000 0.00 0.92
1.00000 0.44472 -0.22615 -0.00000 0.00 0.93
1.00000 0.44430 -0.22541 -0.00000 0.00 0.93
1.00000 0.44387 -0.22466 -0.00000 0.00 0.93
1.00000 0.44344 -0.22391 -0.00000 0.00 0.93
1.00000 0.44301 -0.22316 -0.00000 0.00 0.94
1.00000 0.44258 -0.22242 -0.00000 0.00 0.94
1.00000 0.44215 -0.22167 -0.00000 0.00 0.94
1.00000 0.44172 -0.22092 -0.00000 0.00 0.95
1.00000 0.44128 -0.22017 -0.00000 0.00 0.95
1.00000 0.44085 -0.21943 -0.00000 0.00 0.95
1.00000 0.44041 -0.21868 -0.00000 0.00 0.95
1.00000 0.43997 -0.21793 -0.00000 0.00 0.96
1.00000 0.43953 -0.21718 -0.00000 0.00 0.96
1.00000 0.43909 -0.21644 -0.00000 0.00 0.96
1.00000 0.43864 -0.21569 -0.00000 0.00 0.97
1.00000 0.43820 -0.21494 -0.00000 0.00 0.97
1.00000 0.43775 -0.21419 -0.00000 0.00 0.97
1.00000 0.43731 -0.21345 -0.00000 0.00 0.98
1.00000 0.43686 -0.21270 -0.00000 0.00 0.98
1.00000 0.43641 -0.21195 -0.00000 0.00 0.98
1.00000 0.43596 -0.21121 -0.00000 0.00 0.98
1.00000 0.43550 -0.21046 -0.00000 0.00 0.99
1.00000 0.43505 -0.20971 -0.00000 0.00 0.99
1.00000 0.43459 -0.20897 -0.00000 0.00 0.99
1.00000 0.43414 -0.20822 -0.00000 0.00 1.00
1.00000 0.43368 -0.20747 -0.00000 0.00 1.00
1.00000 0.43322 -0.20673 -0.00000 0.00 1.00
1.00000 0.43276 -0.20598 -0.00000 0.00 1.01
1.00000 0.43230 -0.20524 -0.00000 0.00 1.01
1.00000 0.43183 -0.20450 -0.00000 0.00 1.01
1.00000 0.43137 -0.20375 -0.00000 0.00 1.02
1.00000 0.43090 -0.20301 -0.00000 0.00 1.02
1.00000 0.43043 -0.20226 -0.00000 0.00 1.02
1.00000 0.42997 -0.20152 -0.00000 0.00 1.02
1.00000 0.42950 -0.20078 -0.00000 0.00 1.03
1.00000 0.42902 -0.20004 -0.00000 0.00 1.03
1.00000 0.42855 -0.19930 -0.00000 0.00 1.03
1.00000 0.42808 -0.19856 -0.00000 0.00 1.04
1.00000 0.42760 -0.19782 -0.00000 0.00 1.04
1.00000 0.42712 -0.19708 -0.00000 0.00 1.04
1.00000 0.42665 -0.19634 -0.00000 0.00 1.05
1.00000 0.42617 -0.19560 -0.00000 0.00 1.05
1.00000 0.42569 -0.19486 -0.00000 0.00 1.05
1.00000 0.42520 -0.19412 -0.00000 0.00 1.05
1.00000 0.42472 -0.19339 -0.00000 0.00 1.06
1.00000 0.42423 -0.19265 -0.00000 0.00 1.06
1.00000 0.42375 -0.19192 -0.00000 0.00 1.06
1.00000 0.42326 -0.19118 -0.00000 0.00 1.07
1.00000 0.42277 -0.19045 -0.00000 0.00 1.07
1.00000 0.42228 -0.18972 -0.00000 0.00 1.07
1.00000 0.42179 -0.18899 -0.00000 0.00 1.07
1.00000 0.42130 -0.18825 -0.00000 0.00 1.08
1.00000 0.42080 -0.18752 -0.00000 0.00 1.08
1.00000 0.42031 -0.18679 -0.00000 0.00 1.08
1.00000 0.41981 -0.18607 -0.00000 0.00 1.09
1.00000 0.41931 -0.18534 -0.00000 0.00 1.09
1.00000 0.41882 -0.18461 -0.00000 0.00 1.09
1.00000 0.41831 -0.18389 -0.00000 0.00 1.10
1.00000 0.41781 -0.18316 -0.00000 0.00 1.10
1.00000 0.41731 -0.18244 -0.00000 0.00 1.10
1.00000 0.41681 -0.18171 -0.00000 0.00 1.11
1.00000 0.41630 -0.18099 -0.00000 0.00 1.11
1.00000 0.41579 -0.18027 -0.00000 0.00 1.11
1.00000 0.41529 -0.17955 -0.00000 0.00 1.11
1.00000 0.41478 -0.17883 -0.00000 0.00 1.12
1.00000 0.41427 -0.17812 -0.00000 0.00 1.12
1.00000 0.41375 -0.17740 -0.00000 0.00 1.12
1.00000 0.41324 -0.17668 -0.00000 0.00 1.13
1.00000 0.41273 -0.17597 -0.00000 0.00 1.13
1.00000 0.41221 -0.17526 -0.00000 0.00 1.13
1.00000 0.41169 -0.17454 -0.00000 0.00 1.14
1.00000 0.41118 -0.17383 -0.00000 0.00 1.14
1.00000 0.41066 -0.17312 -0.00000 0.00 1.14
1.00000 0.41014 -0.17242 -0.00000 0.00 1.14
1.00000 0.40962 -0.17171 -0.00000 0.00 1.15
1.00000 0.40909 -0.17100 -0.00000 0.00 1.15
1.00000 0.40857 -0.17030 -0.00000 0.00 1.15
1.00000 0.40804 -0.16959 -0.00000 0.00 1.16
1.00000 0.40752 -0.16889 -0.00000 0.00 1.16
1.00000 0.40699 -0.16819 -0.00000 0.00 1.16
1.00000 0.40646 -0.16749 -0.00000 0.00 1.17
1.00000 0.40593 -0.16679 -0.00000 0.00 1.17
1.00000 0.40540 -0.16610 -0.00000 0.00 1.17
1.00000 0.40487 -0.16540 -0.00000 0.00 1.17
1.00000 0.40434 -0.16471 -0.00000 0.00 1.18
1.00000 0.40380 -0.16402 -0.00000 0.00 1.18
1.00000 0.40327 -0.16333 -0.00000 0.00 1.18
1.00000 0.40273 -0.16264 -0.00000 0.00 1.19
1.00000 0.40219 -0.16195 -0.00000 0.00 1.19
1.00000 0.40165 -0.16126 -0.00000 0.00 1.19
1.00000 0.40111 -0.16058 -0.00000 0.00 1.20
1.00000 0.40057 -0.15989 -0.00000 0.00 1.20
1.00000 0.40003 -0.15921 -0.00000 0.00 1.20
1.00000 0.39949 -0.15853 -0.00000 0.00 1.20
1.00000 0.39894 -0.15785 -0.00000 0.00 1.21
1.00000 0.39840 -0.15717 -0.00000 0.00 1.21
1.00000 0.39785 -0.15650 -0.00000 0.00 1.21
1.00000 0.39730 -0.15582 -0.00000 0.00 1.22
1.00000 0.39675 -0.15515 -0.00000 0.00 1.22
1.00000 0.39620 -0.15448 -0.00000 0.00 1.22
1.00000 0.39565 -0.15381 -0.00000 0.00 1.23
1.00000 0.39510 -0.15314 -0.00000 0.00 1.23
1.00000 0.39455 -0.15248 -0.00000 0.00 1.23
1.00000 0.39400 -0.15181 -0.00000 0.00 1.23
1.00000 0.39344 -0.15115 -0.00000 0.00 1.24
1.00000 0.39289 -0.15049 -0.00000 0.00 1.24
1.00000 0.39233 -0.14983 -0.00000 0.00 1.24
1.00000 0.39177 -0.14917 -0.00000 0.00 1.25
1.00000 0.39121 -0.14852 -0.00000 0.00 1.25
1.00000 0.39065 -0.14786 -0.00000 0.00 1.25
1.00000 0.39009 -0.14721 -0.00000 0.00 1.26
1.00000 0.38953 -0.14656 -0.00000 0.00 1.26
1.00000 0.38897 -0.14591 -0.00000 0.00 1.26
1.00000 0.38841 -0.14527 -0.00000 0.00 1.26
1.00000 0.38784 -0.14462 -0.00000 0.00 1.27
1.00000 0.38728 -0.14398 -0.00000 0.00 1.27
1.00000 0.38671 -0.14334 -0.00000 0.00 1.27
1.00000 0.38614 -0.14270 -0.00000 0.00 1.28
1.00000 0.38558 -0.14206 -0.00000 0.00 1.28
1.00000 0.38501 -0.14142 -0.00000 0.00 1.28
1.00000 0.38444 -0.14079 -0.00000 0.00 1.29
1.00000 0.38387 -0.14016 -0.00000 0.00 1.29
1.00000 0.38330 -0.13952 -0.00000 0.00 1.29
1.00000 0.38272 -0.13890 -0.00000 0.00 1.29
1.00000 0.38215 -0.13827 -0.00000 0.00 1.30
1.00000 0.38158 -0.13765 -0.00000 0.00 1.30
1.00000 0.38100 -0.13702 -0.00000 0.00 1.30
1.00000 0.38043 -0.13640 -0.00000 0.00 1.31
1.00000 0.37985 -0.13578 -0.00000 0.00 1.31
1.00000 0.37928 -0.13517 -0.00000 0.00 1.31
1.00000 0.37870 -0.13455 -0.00000 0.00 1.32
1.00000 0.37812 -0.13394 -0.00000 0.00 1.32
1.00000 0.37754 -0.13333 -0.00000 0.00 1.32
1.00000 0.37696 -0.13272 -0.00000 0.00 1.32
1.00000 0.37638 -0.13211 -0.00000 0.00 1.33
1.00000 0.37580 -0.13150 -0.00000 0.00 1.33
1.00000 0.37522 -0.13090 -0.00000 0.00 1.33
1.00000 0.37464 -0.13030 -0.00000 0.00 1.34
1.00000 0.37405 -0.12970 -0.00000 0.00 1.34
1.00000 0.37347 -0.12910 -0.00000 0.00 1.34
1.00000 0.37289 -0.12851 -0.00000 0.00 1.35
1.00000 0.37230 -0.12791 -0.00000 0.00 1.35
1.00000 0.37172 -0.12732 -0.00000 0.00 1.35
1.00000 0.37113 -0.12673 -0.00000 0.00 1.35
1.00000 0.37054 -0.12615 -0.00000 0.00 1.36
1.00000 0.36996 -0.12556 -0.00000 0.00 1.36
1.00000 0.36937 -0.12498 -0.00000 0.00 1.36
1.00000 0.36878 -0.12440 -0.00000 0.00 1.37
1.00000 0.36819 -0.12382 -0.00000 0.00 1.37
1.00000 0.36760 -0.12324 -0.00000 0.00 1.37
1.00000 0.36701 -0.12267 -0.00000 0.00 1.38
1.00000 0.36642 -0.12209 -0.00000 0.00 1.38
1.00000 0.36583 -0.12152 -0.00000 0.00 1.38
1.00000 0.36524 -0.12095 -0.00000 0.00 1.38
1.00000 0.36465 -0.12039 -0.00000 0.00 1.39
1.00000 0.36405 -0.11982 -0.00000 0.00 1.39
1.00000 0.36346 -0.11926 -0.00000 0.00 1.39
1.00000 0.36287 -0.11870 -0.00000 0.00 1.40
1.00000 0.36227 -0.11814 -0.00000 0.00 1.40
1.00000 0.36168 -0.11758 -0.00000 0.00 1.40
1.00000 0.36108 -0.11703 -0.00000 0.00 1.41
1.00000 0.36049 -0.11648 -0.00000 0.00 1.41
1.00000 0.35989 -0.11593 -0.00000 0.00 1.41
1.00000 0.35930 -0.11538 -0.00000 0.00 1.41
1.00000 0.35870 -0.11483 -0.00000 0.00 1.42
1.00000 0.35810 -0.11429 -0.00000 0.00 1.42
1.00000 0.35751 -0.11375 -0.00000 0.00 1.42
1.00000 0.35691 -0.11321 -0.00000 0.00 1.43
1.00000 0.35631 -0.11267 -0.00000 0.00 1.43
1.00000 0.35571 -0.11213 -0.00000 0.00 1.43
1.00000 0.35511 -0.11160 -0.00000 0.00 1.44
1.00000 0.35452 -0.11107 -0.00000 0.00 1.44
1.00000 0.35392 -0.11054 -0.00000 0.00 1.44
1.00000 0.35332 -0.11001 -0.00000 0.00 1.44
1.00000 0.35272 -0.10949 -0.00000 0.00 1.45
1.00000 0.35212 -0.10896 -0.00000 0.00 1.45
1.00000 0.35152 -0.10844 -0.00000 0.00 1.45
1.00000 0.35092 -0.10792 -0.00000 0.00 1.46
1.00000 0.35032 -0.10741 -0.00000 0.00 1.46
1.00000 0.34972 -0.10689 -0.00000 0.00 1.46
1.00000 0.34912 -0.10638 -0.00000 0.00 1.47
1.00000 0.34852 -0.10587 -0.00000 0.00 1.47
1.00000 0.34791 -0.10536 -0.00000 0.00 1.47
1.00000 0.34731 -0.10486 -0.00000 0.00 1.47
1.00000 0.34671 -0.10435 -0.00000 0.00 1.48
1.00000 0.34611 -0.10385 -0.00000 0.00 1.48
1.00000 0.34551 -0.10335 -0.00000 0.00 1.48
1.00000 0.34491 -0.10285 -0.00000 0.00 1.49
1.00000 0.34431 -0.10236 -0.00000 0.00 1.49
1.00000 0.34370 -0.10186 -0.00000 0.00 1.49
