# a0 a2 a4 a6 delta sigma
1.00000 0.51020 -0.36735 -0.00000 0.00 0.10
1.00000 0.51020 -0.36735 -0.00000 0.00 0.10
1.00000 0.51020 -0.36735 -0.00000 0.00 0.11
1.00000 0.51020 -0.36735 -0.00000 0.00 0.11
1.00000 0.51020 -0.36735 -0.00000 0.00 0.11
1.00000 0.51020 -0.36735 -0.00000 0.00 0.12
1.00000 0.51020 -0.36735 -0.00000 0.00 0.12
1.00000 0.51020 -0.36735 -0.00000 0.00 0.12
1.00000 0.51020 -0.36735 -0.00000 0.00 0.12
1.00000 0.51020 -0.36735 -0.00000 0.00 0.13
1.00000 0.51020 -0.36735 -0.00000 0.00 0.13
1.00000 0.51020 -0.36735 -0.00000 0.00 0.13
1.00000 0.51020 -0.36735 -0.00000 0.00 0.14
1.00000 0.51020 -0.36735 -0.00000 0.00 0.14
1.00000 0.51020 -0.36735 -0.00000 0.00 0.14
1.00000 0.51020 -0.36735 -0.00000 0.00 0.15
1.00000 0.51020 -0.36735 -0.00000 0.00 0.15
1.00000 0.51020 -0.36735 -0.00000 0.00 0.15
1.00000 0.51020 -0.36735 -0.00000 0.00 0.15
1.00000 0.51020 -0.36735 -0.00000 0.00 0.16
1.00000 0.51020 -0.36735 -0.00000 0.00 0.16
1.00000 0.51020 -0.36735 -0.00000 0.00 0.16
1.00000 0.51020 -0.36735 -0.00000 0.00 0.17
1.00000 0.51020 -0.36735 -0.00000 0.00 0.17
1.00000 0.51020 -0.36735 -0.00000 0.00 0.17
1.00000 0.51020 -0.36735 -0.00000 0.00 0.17
1.00000 0.51020 -0.36735 -0.00000 0.00 0.18
1.00000 0.51020 -0.36735 -0.00000 0.00 0.18
1.00000 0.51020 -0.36735 -0.00000 0.00 0.18
1.00000 0.51020 -0.36735 -0.00000 0.00 0.19
1.00000 0.51020 -0.36735 -0.00000 0.00 0.19
1.00000 0.51020 -0.36735 -0.00000 0.00 0.19
1.00000 0.51020 -0.36735 -0.00000 0.00 0.20
1.00000 0.51020 -0.36735 -0.00000 0.00 0.20
1.00000 0.51020 -0.36735 -0.00000 0.00 0.20
1.00000 0.51020 -0.36734 -0.00000 0.00 0.21
1.00000 0.51020 -0.36734 -0.00000 0.00 0.21
1.00000 0.51020 -0.36734 -0.00000 0.00 0.21
1.00000 0.51020 -0.36734 -0.00000 0.00 0.21
1.00000 0.51020 -0.36734 -0.00000 0.00 0.22
1.00000 0.51020 -0.36733 -0.00000 0.00 0.22
1.00000 0.51020 -0.36733 -0.00000 0.00 0.22
1.00000 0.51020 -0.36733 -0.00000 0.00 0.23
1.00000 0.51019 -0.36732 -0.00000 0.00 0.23
1.00000 0.51019 -0.36731 -0.00000 0.00 0.23
1.00000 0.51019 -0.36730 -0.00000 0.00 0.24
1.00000 0.51018 -0.36729 -0.00000 0.00 0.24
1.00000 0.51018 -0.36728 -0.00000 0.00 0.24
1.00000 0.51017 -0.36726 -0.00000 0.00 0.24
1.00000 0.51016 -0.36725 -0.00000 0.00 0.25
1.00000 0.51015 -0.36722 -0.00000 0.00 0.25
1.00000 0.51014 -0.36720 -0.00000 0.00 0.25
1.00000 0.51013 -0.36717 -0.00000 0.00 0.26
1.00000 0.51012 -0.36713 -0.00000 0.00 0.26
1.00000 0.51010 -0.36710 -0.00000 0.00 0.26
1.00000 0.51008 -0.36705 -0.00000 0.00 0.27
1.00000 0.51006 -0.36700 -0.00000 0.00 0.27
1.00000 0.51004 -0.36694 -0.00000 0.00 0.27
1.00000 0.51001 -0.36688 -0.00000 0.00 0.27
1.00000 0.50998 -0.36681 -0.00000 0.00 0.28
1.00000 0.50994 -0.36672 -0.00000 0.00 0.28
1.00000 0.50991 -0.36664 -0.00000 0.00 0.28
