50 0 0.87500
50 1 0.95000
50 2 0.90000
51 0 0.81678
51 1 36618.65465
51 2 -3.93915
52 0 0.86450
52 1 0.70324
52 2 0.71269
53 0 -5.47898
53 1 0.69191
53 2 -4.59670
54 0 0.85325
54 1 0.69075
54 2 0.75455
55 0 0.85486
55 1 0.69325
55 2 0.73141
56 0 0.85758
56 1 0.69366
56 2 0.74198
57 0 0.85886
57 1 0.69264
57 2 0.75674
58 0 0.85721
58 1 0.69303
58 2 0.75789
59 0 0.85448
59 1 0.69178
59 2 0.74675
60 0 0.86095
60 1 0.69152
60 2 0.75630
61 0 0.85930
61 1 0.69196
61 2 0.75757
62 0 0.86396
62 1 0.68998
62 2 0.44592
63 0 0.86565
63 1 0.69140
63 2 0.74943
64 0 0.86255
64 1 0.69022
64 2 0.75232
65 0 0.86542
65 1 0.69151
65 2 0.73872
66 0 0.87588
66 1 0.31663
66 2 0.80888
67 0 0.88138
67 1 0.70329
67 2 0.83269
68 0 0.88388
68 1 0.59055
68 2 0.82740
69 0 0.88211
69 1 0.64367
69 2 0.80782
70 0 0.88244
70 1 0.56779
70 2 0.82828
71 0 0.87786
71 1 0.70249
71 2 0.83171
72 0 0.87152
72 1 0.69970
72 2 0.79409
73 0 0.87604
73 1 0.69960
73 2 0.77959
74 0 0.87405
74 1 0.69859
74 2 0.81444
75 0 0.96009
75 1 0.99985
75 2 1.05845
76 0 0.83949
76 1 0.89184
76 2 0.86455
77 0 0.83742
77 1 0.91752
77 2 1.04163
78 0 0.83796
78 1 0.92012
78 2 1.05557
79 0 0.83879
79 1 0.91863
79 2 1.03939
80 0 0.83881
80 1 0.91972
80 2 1.03227
81 0 0.83870
81 1 0.91820
81 2 1.03978
82 0 0.84054
82 1 0.91971
82 2 1.03965
83 0 0.84040
83 1 0.91952
83 2 1.03099
84 0 0.84204
84 1 0.92118
84 2 1.04620
85 0 0.84182
85 1 0.91993
85 2 1.04531
86 0 0.84297
86 1 0.92025
86 2 1.04477
87 0 0.84244
87 1 0.92301
87 2 1.04128
88 0 0.84457
88 1 0.92303
88 2 1.02708
89 0 0.84272
89 1 0.92315
89 2 1.01978
90 0 0.84474
90 1 0.92422
90 2 1.02358
91 0 0.84651
91 1 0.92573
91 2 1.03079
92 0 0.84746
92 1 0.92600
92 2 1.02649
93 0 0.84788
93 1 0.92640
93 2 1.01544
94 0 0.84702
94 1 0.92721
94 2 1.01117
95 0 0.84759
95 1 0.93477
95 2 1.23364
96 0 0.84754
96 1 0.93350
96 2 1.21661
97 0 0.84779
97 1 0.93532
97 2 1.18933
98 0 0.84775
98 1 0.93467
98 2 1.13356
99 0 0.84739
99 1 0.93575
99 2 1.18186
100 0 0.84828
100 1 0.93533
100 2 1.13929
101 0 0.84816
101 1 0.93596
101 2 1.14684
102 0 0.84881
102 1 0.93542
102 2 1.15325
103 0 0.84892
103 1 0.93680
103 2 1.04583
104 0 0.85029
104 1 0.93503
104 2 1.00735
105 0 0.85093
105 1 0.93101
105 2 0.96892
106 0 0.85233
106 1 0.93023
