70.000000 92.767 9.685 1294.315 0.387 3.569 0.397
80.000000 213.023 15.059 1293.418 0.231 3.292 0.212
90.000000 294.675 17.168 1293.126 0.172 2.928 0.157
100.000000 267.937 16.422 1292.818 0.200 3.196 0.230
110.000000 412.180 20.302 1293.006 0.160 3.243 0.179
120.000000 403.385 20.084 1292.860 0.137 2.698 0.119
130.000000 482.439 21.965 1292.865 0.151 3.300 0.170
140.000000 325.242 18.038 1292.248 0.172 3.089 0.182
150.000000 308.169 17.556 1292.648 0.149 2.619 0.132
160.000000 193.804 13.921 1292.951 0.219 2.674 0.209
170.000000 68.391 9.880 1292.287 0.417 2.913 0.942
