70.000000 618.490 119.716 2970.949 1.099 7.563 1.247
80.000000 379.451 39.469 2973.503 0.532 5.471 0.637
90.000000 339.201 26.419 2973.379 0.354 4.621 0.333
100.000000 234.465 22.492 2974.099 0.345 3.526 0.339
110.000000 382.714 26.354 2974.111 0.304 4.630 0.335
120.000000 351.661 22.803 2973.863 0.289 4.319 0.260
130.000000 430.267 25.117 2974.192 0.287 5.118 0.301
140.000000 454.341 32.355 2974.611 0.387 5.926 0.403
150.000000 578.279 43.871 2973.725 0.462 6.930 0.434
160.000000 637.726 53.931 2973.320 0.507 6.233 0.468
