70.000000 93.505 38.801 1189.131 1.133 2.694 1.161
80.000000 593002.553 73227.510 1399.441 3.553 -74.669 1.549
90.000000 73.346 16.701 1190.345 0.437 2.029 0.427
100.000000 64.348 15.829 1190.736 0.539 2.062 0.563
110.000000 77.961 11.846 1190.573 0.286 1.837 0.240
120.000000 95.632 14.629 1190.855 0.329 2.467 0.364
130.000000 107.682 16.291 1190.145 0.332 2.718 0.432
140.000000 122.951 18.370 1190.258 0.342 2.602 0.350
150.000000 124193.218 220838.978 3686.301 240955.236 -16638.630 31190.913
160.000000 540.992 84.481 1177.446 0.885 -6.272 0.796
