70.000000 25892.624 161.524 1408.278 0.009 1.318 0.007
80.000000 73480.126 273.329 1408.383 0.006 1.503 0.005
90.000000 97698.733 314.810 1408.405 0.005 1.451 0.004
100.000000 94330.779 308.647 1408.280 0.005 1.439 0.004
110.000000 124476.260 355.603 1408.277 0.004 1.446 0.004
120.000000 135980.170 370.560 1408.153 0.004 1.557 0.004
130.000000 149454.532 388.985 1408.018 0.004 1.647 0.004
140.000000 95577.547 310.863 1408.160 0.005 1.441 0.004
150.000000 83351.460 290.760 1408.155 0.005 1.338 0.004
160.000000 51483.266 228.636 1408.228 0.006 1.314 0.005
