77 95 105
78 99 96
79 100 96
80 95 90
81 81 110
82 86 97
83 85 94
84 86 96
85 87 93
86 85 85
87 86 97
88 82 100
89 81 99
90 91 96
91 100 93
92 96 97
93 92 95
94 87 99
99 282 74
100 280 67
101 282 67
102 280 72
103 311 95
104 320 101
105 322 98
106 320 91
107 318 95
108 318 92
109 315 99
110 318 100
111 317 102
112 315 99
113 315 99
114 315 99
115 318 100
116 318 100
117 318 100
118 319 100
119 320 100
120 324 98
121 328 106
122 322 101
123 320 110
125 306 92
126 306 92
127 306 92
128 305 102
129 305 80
130 308 93
131 313 99
132 313 99
133 303 96
134 311 95
138 313 96
139 311 95
140 310 98
141 309 96
142 313 96
143 314 102
144 308 100
145 313 96
150 316 101
151 318 105
152 320	104
153 315	101
154 314	98
155 315 106
156 313 103
157 313 100
158 308 99
159 310 100
161 315 100
162 311 100
163 312 100
164 314 104
165 316 107
167 314 99
168 315 105
170 328 110
171 328 114
172 329 121
173 328 109
174 329 130
